,question,contexts,ground_truth,answer,context_precision,faithfulness,answer_relevancy,context_recall
2,What type of coffee experience does Punkt Café offer?,"[""['Kafe Friedrich offers a perfect cup of coffee served by the nicest staff. This minimalist, living-room-sized café primarily uses local ingredients for its food and sweets, with the notable exception of their premium coffee which is sourced globally. During summer, the café provides seating by its window or on a bench outside, allowing patrons to enjoy moments of sweet laziness.\\nSmetanova 45\\nKafe Friedrich: A Cozy Spot for Premium Coffee in Brno\\nKafe Friedrich is a cozy café in Brno known for its premium coffee and local ingredients. It provides a minimalist, semi-outdoor seating area for a relaxing coffee experience. The café is celebrated for its friendly staff and inviting atmosphere.; url: https://www.gotobrno.cz/wp-content/uploads/2023/10/GB23_pruvodce-A6_EN_dvoustrany_web.pdf']""]",A Berlin-inspired coffee experience with a selection of espresso and filtered coffees from premium Czech and foreign beans.,"Punkt Café offers a premium coffee experience with their globally sourced coffee. The café primarily uses local ingredients for its food and sweets in a cozy, minimalist setting. During summer, patrons can enjoy seating by the window or outside on a bench, creating an opportunity for moments of sweet laziness.",0.9999999999,0.5,0.9967577794412451,0.0
3,What does QB Coffee Roasters offer?,"['[{\'title\': \'qb coffee roasters\', \'href\': \'https://qb.coffee/\', \'body\': \'QB COFFEE ROASTERS Věříme v kávový holismus. QB COFFEE ROASTERS Věříme v kávový holismus. Vše souvisí se vším. Pražíme kávu, připravujeme kávu, pijeme kávu. Touha vědět a umět víc je naší hybnou silou. Může být i tou vaší. ... Vytvořilo: www.tretri.cz | Obchodní podmínky. 0; O nás; Káva; E-shop;\'}, {\'title\': \'qb coffee roasters | Brno - Facebook\', \'href\': \'https://www.facebook.com/qbcoffeeroasters/\', \'body\': \'qb coffee roasters, Brno. 2,281 likes · 7 talking about this · 182 were here. Věříme v kávový holismus.\'}, {\'title\': \'qb coffee roasters | Go To Brno\', \'href\': \'https://www.gotobrno.cz/ochutnejte/qb-coffee-roasters/\', \'body\': \'qb coffee roasters „Kvůli tamější kávě byste i Svratku přebrodili."" ... Tel.: +420 542 427 150 | E-mail: info@ticbrno.cz TIC BRNO, příspěvková organizace je finančně podporována statutárním městem Brnem. Facebook Instagram. Spravovat Souhlas s cookies.\'}, {\'title\': \'qb coffee roasters | Go To Brno\', \'href\': \'https://www.gotobrno.cz/en/taste-brno/qb-coffee-roasters/\', \'body\': \'Tell your friends about qb coffee roasters! Share on Facebook Taste some more Buchta C Café Momenta Café Placzek All Cafés ... , a public-benefit corporation Radnická 2, 602 00 Brno, Czech Republic Tel.: +420 542 427 150 | E-mail: info@ticbrno.cz TIC BRNO is a public-benefit corporation and is financially supported by the statutory city of ...\'}, {\'title\': \'QB coffee roasters - Brno, Czech Republic | European Coffee Trip\', \'href\': \'https://europeancoffeetrip.com/cafe/qbcoffeeroasters-brno/\', \'body\': ""About. QB coffee roasters are located in a quiet area next to the Brno\'s main cycle path, by the river, among trees and old shipyards. Customers can directly see what working in a coffee roastery means. They can exchange a few words with the roaster, buy fresh coffee beans for home, or try to lift a 60 kg bag of green coffee. Veslařská 507/ ...""}]']","QB Coffee Roasters offers premium coffee made on-site, coffee beans, drinks, and snacks.","QB Coffee Roasters in Brno is a coffee shop that believes in coffee holism. They roast, prepare, and serve coffee, with the desire to know and learn more about it being their driving force. You can directly see what working in a coffee roastery means, exchange words with the roaster, buy fresh coffee beans, or even try to lift a 60 kg bag of green coffee. They have a physical location where you can visit and enjoy their coffee.",0.9999999999,0.875,0.9199814967735468,0.0
4,What is Rebelbean Vlněna known for?,"['[{\'title\': \'Vlněna - Rebelbean\', \'href\': \'https://www.rebelbean.cz/vlnena/\', \'body\': \'Vlněna, Rebelbean. Zpět do obchodu. Přihlášení k vašemu účtu. ... Ocenění Kavárna roku 2023 gastronomickým průvodcem Gourmet Brno. MENU. Adresa Přízova 5 Brno ... pátek 7:30 - 20:00 sobota - neděle 8:00 - 20:00. Kontakt vlnena@rebelbean.cz kavárna & rezervace +420 773 660 847 provoz +420 702 483 232. Sociální sítě ...\'}, {\'title\': \'Vlněna - Rebelbean\', \'href\': \'https://www.rebelbean.cz/en/vlnena/\', \'body\': \'Vlněna, Rebelbean. Back to shop. Login to your account. ... Contact vlnena@rebelbean.cz coffee shop & reservations +420 773 660 847 ... Test Roast 27,60 € Colombia Ortiz Family 17,20 € Pražírna kávy Rebelbean. Kulkova 4045/8, 615 00. Brno-Židenice. Rebelbean s.r.o. Nové Sady 988/2, 602 00, Brno. IČ: 04168488, DIČ: CZ04168488 ...\'}, {\'title\': \'Rebelbean Vlněna | Go To Brno\', \'href\': \'https://www.gotobrno.cz/ochutnejte/rebelbean-vlnena/\', \'body\': \'Radnická 2, 602 00 Brno Tel.: +420 542 427 150 | E-mail: info@ticbrno.cz TIC BRNO, příspěvková organizace je finančně podporována statutárním městem Brnem. Facebook Instagram\'}, {\'title\': \'Rebelbean | Brno - Facebook\', \'href\': \'https://www.facebook.com/rebelbeanvlnena/\', \'body\': \'Rebelbean, Brno, Czech Republic. 3,192 likes · 4 talking about this · 746 were here. Rozvlněná rebelská kavárna se vším, co máme rádi, ukotvená v srdci bývalého textilního centra města.\'}, {\'title\': \'REBELBEAN VLNENA, Brno - Menu, Prices & Restaurant Reviews - Tripadvisor\', \'href\': \'https://www.tripadvisor.co.uk/Restaurant_Review-g274714-d17434741-Reviews-Rebelbean_VlnEna-Brno_South_Moravian_Region_Moravia.html\', \'body\': ""5 reviews #345 of 866 Restaurants in Brno ££ - £££. Přízova 5 Vlněna, Brno 60200 Czech Republic +420 773 660 847 Website Menu. Closed now : See all hours. Improve this listing. See all (23) There aren\'t enough food, service, value or atmosphere ratings for Rebelbean VlnEna, Czech Republic yet. Be one of the first to write a review!""}]']",premium coffee from its own roasting place emphasizing quality and sustainability,"Rebelbean Vlněna is known for being named 'Café of the Year 2023' by the Gourmet Brno guide and offers a Test Roast Colombia Ortiz Family coffee. It can be found at Přízova 5, Brno. Opening hours are from 7:30 AM to 8 PM from Monday to Friday, and 8 AM to 8 PM on weekends.",0.0,1.0,1.0,0.0
5,What significant event occurred near Brno in 1805?,"['[{\'title\': \'ART DESIGN FASHION - Moravská galerie - moravska-galerie.cz\', \'href\': \'https://moravska-galerie.cz/vystavy/stale-expozice/art-design-fashion/\', \'body\': \'ART DESIGN FASHION. Budova Uměleckoprůmyslového muzea Moravské galerie v roce 2021 získala nový koncept: ART DESIGN FASHION. Předesílá jím, že muzeum se věnuje nejen samotnému designu, ale také módě a vztahu designu a umění. Návštěvníky čeká stálá expozice, výstavy i nové zázemí, které exkluzivně pro Moravskou ...\'}, {\'title\': \'ART DESIGN FASHION - Demon of the Growth - Google Arts & Culture\', \'href\': \'https://artsandculture.google.com/asset/art-design-fashion-demon-of-the-growth/-wHgryULCGxCtg\', \'body\': \'Part of the ART DESIGN FASHION exhibition in the Museum of Applied Arts is also Demon of the Growth sculpture by the artist Krištof Kintera. The artwork is...\'}, {\'title\': \'Moravian Gallery | ART DESIGN FASHION, Brno, Czech Republic\', \'href\': \'https://amazingarchitecture.com/gallery/moravian-gallery-art-design-fashion-brno-czech-republic\', \'body\': \'The Moravian Gallery in Brno is a museum of art and design. It has over 200 thousand works of art in its collections. The collections are presented in the form of permanent and temporary exhibitions. The breadth of its collections makes it the second largest institution of its kind in the Czech Republic.\'}, {\'title\': \'Home | Krištof Kintera\', \'href\': \'https://kristofkintera.com/home.htm\', \'body\': ""Permanent installation Public Jukebox, Hrachov (Svatý Jan, Sedlčany, Czech Republic) Krištof Kintera - interview: \'Humour helps us to survive\', www.studiointernational.com. The End Of Fun, Ikon, Gallery Birmingham, 17/9-22/11 2020. Welcome to Neuropolis, Heldenreizer Contemporary, Munich, 11/09-15/10 2020. Neuropolis, Galerie ...""}, {\'title\': \'Moravian Gallery Unveils Innovative ""ART DESIGN FASHION"" Concept in ...\', \'href\': \'https://www.archiscene.net/museum/moravian-gallery-art-design-fashion-concept/\', \'body\': \'October 10, 2023, 12:36 pm Comments Off. The Moravian Gallery in Brno has embarked on a transformative journey with the introduction of its groundbreaking ""ART DESIGN FASHION"" concept in the Museum of Applied Arts. This pioneering approach expands the museum\\\'s traditional focus on design to encompass fashion and the intersection of design ...\'}]']",The Battle of Austerlitz,"I'm sorry, but I couldn't find any specific significant event near Brno in 1805 from the provided information.",0.0,0,0.0,0.0
6,What is the average temperature in Brno?,"['[{\'title\': \'Climate & Weather Averages in Brno, Czechia - timeanddate.com\', \'href\': \'https://www.timeanddate.com/weather/czech-republic/brno/climate\', \'body\': \'Annual Weather Averages Near Brno. Averages are for Brno / Turany, which is 5 miles from Brno. ... All Year Climate & Weather Averages in Brno. High Temp: 79 °F. Low Temp: 25 °F. Mean Temp: 50 °F. Precipitation: 1.89"" Humidity: 74%. Dew Point: 41 °F. Wind: 14 mph. Pressure: 30.04 ""Hg. Visibility: 9 mi. January Climate & Weather Averages in ...\'}, {\'title\': \'Climate and Average Weather Year Round in Brno Czechia\', \'href\': \'https://weatherspark.com/y/81564/Average-Weather-in-Brno-Czechia-Year-Round\', \'body\': \'The hottest month of the year in Brno is July, with an average high of 76°F and low of 58°F. The cold season lasts for 3.5 months, from November 19 to March 2, with an average daily high temperature below 42°F. The coldest month of the year in Brno is January, with an average low of 26°F and high of 34°F.\'}, {\'title\': \'Climate - Brno (Czech Republic) - Climates to Travel\', \'href\': \'https://www.climatestotravel.com/climate/czech-republic/brno\', \'body\': \'The average wind speed is 12 kph (7 mph). July is generally a warm month. The average temperature is of 20.3 °C (68 °F), with a minimum of 14.4 °C (57.9 °F) and a maximum of 26.2 °C (79.1 °F). On the coldest nights of the month, the temperature usually drops to around 8.5 °C (47.5 °F).\'}, {\'title\': \'Brno climate: Weather Brno & temperature by month - Climate-Data.org\', \'href\': \'https://en.climate-data.org/europe/czech-republic/brno/brno-6284/\', \'body\': \'Brno Climate (Czech Republic) Data and graphs for weather & climate in Brno >>Weather by month // weather averages Brno ... average temperature by month Brno. The month of highest temperature is July during which the average temperature reaches up to 20.3 °C | 68.6 °F. At -1.3 °C | 29.7 °F on average, January is the coldest month of the year.\'}, {\'title\': \'Yearly & Monthly weather - Brno, Czech Republic\', \'href\': \'https://www.weather-atlas.com/en/czech-republic/brno-climate\', \'body\': \'Spring weather in Brno. Spring unfolds in Brno from March to May, with temperatures spanning from 1.8°C (35.2°F) at night to a mild 18.8°C (65.8°F) during the day. Precipitation sees a significant increase in May, up to 41mm (1.61"") with 13.8 rainfall days, while snowfall almost disappears post-March.\'}]']",9.4 °C The city's average temperature is 9.4 °C,"The average temperature in Brno varies throughout the year. The warmest month is July with an average high temperature of 76°F (24.4°C) and low temperature of 58°F (14.4°C). The cold season lasts from November to March, with an average daily high temperature below 42°F (5.6°C). January is the coldest month with an average low temperature of 26°F (-3.3°C) and a high temperature of 34°F (1.1°C). The average temperature in Brno throughout the year is 50°F (10°C).",0.9999999999,0.8,0.974300615907637,1.0
7,What is a famous legend in Brno?,"['[{\'title\': ""Brno\'s Tales and Legends | Foreigners.cz Blog"", \'href\': \'https://blog.foreigners.cz/brno-tales-and-legends/\', \'body\': \'Legend of the Brno Wheel. The wheel that hangs in the Old Town Hall has come to be from a deal made between Georg Birk, a craftsman from Lednice, and his friends for 14 Tolar . He bet that within 12 hours (6am-6pm) he could chop down a tree, make a wheel, and roll it to Brno (45KM). Legend has it that Georg Birk regretted this bet, but really ...\'}, {\'title\': \'Brno Dragon - Brno, Czechia - Atlas Obscura\', \'href\': \'https://www.atlasobscura.com/places/brno-dragon\', \'body\': \'Hanging in the Old Town Hall of the largest Moravian city is the carcass of an actual dragon, or so the originators of the Brno Dragon legend would have you believe.. One of the most famous ...\'}, {\'title\': \'Old Town Hall (Stará radnice) | Go To Brno\', \'href\': \'https://www.gotobrno.cz/en/place/old-town-hall/\', \'body\': ""The oldest secular building in the city, which began in the 13th century, provides a unique view over the historic centre and is bound to the main Brno legends. The twisted pinnacle on the late Gothic portal is said to be the revenge of Anton Pilgram for the council\'s failure to pay. In the entrance way hang the mythic Brno dragon and the famed wheel. Tourists appreciate the renovated TIC ...""}, {\'title\': \'25 Amazing Things to Do in Brno by Local - Czech the World\', \'href\': \'https://czechtheworld.com/things-to-do-in-brno-czech-republic/\', \'body\': ""The most famous legend of Brno - Why the noon is ringed at 11 o\'clock at Petrov - this legend dates back to the Thirty Years\' War when the Swedish army sieged Brno. General Torstenson and his 28 000 men spent 4 months trying to conquer Brno, which had only 1526 defenders.""}, {\'title\': \'21 Amazing Things to do in Brno: Travel Guide, History, Hotels ...\', \'href\': \'https://wonderfulwanderings.com/czechia/brno/\', \'body\': ""Brno is the second-largest city in the Czech Republic. Nestled between the Moravian landscape, Brno\'s history stretches back over a thousand years and its historic center is a testament to its storied past. Notable landmarks include the Špilberk Castle, a medieval fortress that turned into a prison and the awe-inspiring Cathedral of St. Peter and Paul, showcasing a splendid mix of Gothic and ...""}]']",The Legend of the Brno Dragon,"There are several famous legends in Brno. One of them is the Legend of the Brno Wheel, which tells a story about Georg Birk, a craftsman who bet he could chop down a tree, make a wheel, and roll it to Brno within 12 hours. Another well-known legend is the one about the Brno Dragon, whose carcass is hanging in the Old Town Hall. The most famous legend of Brno, however, might be the one about why the noon is rung at 11 o'clock at Petrov, which dates back to the Thirty Years' War.",0.9999999999,1.0,0.9782551201768342,1.0
8,What are some of the historical and cultural landmarks in Brno?,"['[{\'title\': \'THE 10 BEST Brno Sights & Historical Landmarks - Tripadvisor\', \'href\': \'https://www.tripadvisor.com/Attractions-g274714-Activities-c47-Brno_South_Moravian_Region_Moravia.html\', \'body\': \'Moravian Carst And Brno Private Tour From Prague. 3. Full-day Tours. from $384 per adult. Half Day Tour to the Macocha Abyss and The Punkva Caves. 1. Historical Tours. from $165 per adult. Trip to the Austerlitz Battlefield near BRNO in the Czech Republic.\'}, {\'title\': \'21 Amazing Things to do in Brno: Travel Guide, History, Hotels ...\', \'href\': \'https://wonderfulwanderings.com/czechia/brno/\', \'body\': ""Brno is the second-largest city in the Czech Republic. Nestled between the Moravian landscape, Brno\'s history stretches back over a thousand years and its historic center is a testament to its storied past. Notable landmarks include the Špilberk Castle, a medieval fortress that turned into a prison and the awe-inspiring Cathedral of St. Peter and Paul, showcasing a splendid mix of Gothic and ...""}, {\'title\': \'15 Top-Rated Attractions & Things to Do in Brno | PlanetWare\', \'href\': \'https://www.planetware.com/tourist-attractions-/brno-cz-jm-br.htm\', \'body\': ""The Czech Republic\'s second largest city after Prague and the capital of the state of Moravia, Brno has a long and rich history that dates back as far as prehistoric times. While evidence of the communist era still dominates the city\'s outskirts, dig deeper, and you\'ll be rewarded with a number of splendid historical sites and attractions, including the 13th-century Spilberk Castle; the ...""}, {\'title\': ""The inside guide to Brno, the Czech Republic\'s quirky second city"", \'href\': \'https://www.nationalgeographic.com/travel/article/inside-guide-brno-czech-republic-quirky-second-city\', \'body\': ""The inside guide to Brno, the Czech Republic\'s quirky second city. Famed for its historic beauty, the Czech capital rewards travellers who look beyond its golden-stoned Old Town \\xad— dig deeper ...""}, {\'title\': \'Brno · #VisitCzechia\', \'href\': \'https://www.visitczechia.com/en-us/things-to-do/places/landmarks/cities/t-brno\', \'body\': \'10-Z is the code name of the most secret atomic shelter for the elite of Brno and the region. It was built during the Nazi regime as a shelter against American and Soviet bombing of Brno, but it was not finished until 1959. The capacity is 500 people, which it can protect for three days. The temperature in the shelter is a constant 14°C, and ...\'}]']","Some of the historical and cultural landmarks in Brno include Špilberk Castle, Petrov cathedral, Liberty Square, Moravian Gallery, Líšeň Castle, and Functional Agudas Achim Synagogue.","Brno, the second-largest city in the Czech Republic, is known for its rich history and cultural landmarks. Some notable historical sites include Špilberk Castle, a former prison turned medieval fortress, and the stunning Cathedral of St. Peter and Paul showcasing a mix of Gothic and Neo-Gothic architecture. The 13th-century Spilberk Castle is another major attraction, reflecting Brno's long history. Visitors can also explore remnants from the communist era or discover hidden gems like the secret atomic shelter known as 10-Z.",0.9999999999,1.0,0.9521582762273333,1.0
9,What is the population of Brno?,"['[{\'text\': \'Brno (/ˈbɜːrnoʊ/BUR-noh, Czech: [ˈbr̩no]; German: Brünn[bʁʏn]) is a city in theSouth Moravian Region of the Czech Republic. Located at the confluence of the Svitava and Svratka rivers, Brno has about 400,000 inhabitants, making it the second-largest city in the Czech Republic after the capital, Prague, and one of the 100 largest cities of the European Union. The Brno metropolitan area has approximately 720,000 inhabitants.\', \'address\': None, \'header\': \'Brno, Czech Republic\', \'brief\': \'Brno is the second-largest city in the Czech Republic, located in the South Moravian Region. It lies at the confluence of the Svitava and Svratka rivers and has about 400,000 residents. The metropolitan area around Brno has approximately 720,000 inhabitants.\', \'url\': \'https://en.wikipedia.org/wiki/Brno\'}, ""Brno is located in the Czech Republic, specifically in the South Moravian Region, within the Brno-City District. It was founded around the year 1000. The city covers an area of 230.18 square kilometers, with 225.71 square kilometers being land and 4.47 square kilometers being water. Brno has an elevation ranging from 190 meters (620 feet) to 497 meters (1,631 feet) above sea level. As of the latest data, Brno is designated as a statutory city and has a population of 396,101 inhabitants, with a population density of 1,700 people per square kilometer. The metropolitan area, including surrounding areas, has a population of 696,413 people. Brno operates in the Central European Time Zone (UTC+1) during standard time and switches to Central European Summer Time (UTC+2) during daylight saving time. The postal code for Brno ranges from 600 00 to 650 00. For more information, you can visit the official website of Brno at www.brno.cz.\\n\\nOverview of Brno, Czech Republic\\nBrno, situated in the Czech Republic\'s South Moravian Region, was founded around the year 1000. Covering an area of 230.18 square kilometers, it has a population of 396,101 inhabitants and a metropolitan area population of 696,413 people.; url: https://en.wikipedia.org/wiki/Brno"", \'According to the 2021 census, Brno had 398,510 inhabitants. The largest ethnic groups reported (without options to choose between) were Czechs (51.6%), Moravians (18.7%), Slovaks (1.5%), Ukrainians (0.9%), Vietnamese (0.4%), and Poles (0.2%). 23.7% of inhabitants did not write any nationality. In the 2001 census, when the most common nationalities were listed to choose between, 76.1% were Czechs and 18.7% Moravians (94.8% Czechs in the broader sense). Brno experienced its largest increases in population during the 19th century at the time of the Industrial Revolution, and in 1919 due to a merger with surrounding municipalities.\\n\\nDemographics of Brno\\nBrno, the second largest city in the Czech Republic, had 398,510 inhabitants as per the 2021 census. The city boasts a diverse demographic makeup, with Czechs being the largest ethnic group followed by Moravians. In terms of education, Brno hosts several higher education institutions, including Masaryk University, the largest in the city with over 40,000 students, and the Brno University of Technology, one of the largest technical universities in the country.; url: https://en.wikipedia.org/wiki/Brno\']']","about 400,000","The population of Brno is approximately 398,510 inhabitants according to the 2021 census.",0.9999999999,1.0,0.9569438038417103,1.0
0,What is the name of the castle and fortress that dominates the cityscape of Brno?,"[""[{'title': 'Špilberk Castle', 'href': 'https://www.spilberk.cz/en/', 'body': 'Experience it all at Špilberk Castle, located at the highest point of Brno! ... From Castle to Fortress: How Spilberk was Built #Family #FunonSpilberk #School Search Game Get to Know Špilberk! ... Špilberk 210/1, 662 24 Brno Návštěva hradu. Naplánovat návštěvu. Jak se dostanu na hrad. Plán hradu.'}, {'title': 'Špilberk Castle | Go To Brno', 'href': 'https://www.gotobrno.cz/en/place/spilberk-castle/', 'body': 'Špilberk Castle was established in the 13th century by Přemysl Otakar II to protect both the Czech lands and the town of Brno. An occasional residence of Moravian margraves, the castle became a huge military fortress in the 17th and 18th centuries. In 1783, as decreed by Emperor Joseph II, it was transformed into a jail for serious criminals ...'}, {'title': 'Brno - Špilberk - Castle, Fortress and Prison - visitbrno.cz', 'href': 'https://www.visitbrno.cz/en/brno-spilberk-castle-fortress-and-prison/51/', 'body': 'Brno - Špilberk - Castle, Fortress and Prison. Without a doubt, this is the biggest and most famous landmark of the city. The castle on a rocky hill of the same name above the city was founded in around 1250 by the later king Přemysl Otakar II, at the time still a Moravian margrave.Over the centuries, the castle changed both function and form.'}, {'title': 'Špilberk Castle - Wikipedia', 'href': 'https://en.wikipedia.org/wiki/Špilberk_Castle', 'body': 'Špilberk Castle (Czech: hrad Špilberk; German: Spielberg, locally Špilas) is a castle on the hilltop in Brno, Southern Moravia.Its construction began as early as the first half of the 13th century by the Přemyslid kings and completed by King Ottokar II of Bohemia. From a major royal castle established around the mid-13th century, and the seat of the Moravian margraves in the mid-14th ...'}, {'title': 'Hrad Špilberk - Muzeum města Brna', 'href': 'https://www.spilberk.cz/', 'body': 'Brno na Špilberku: Historie města Brna v kostce Přijďte se školou na Špilberk a máte o zábavné vyučování postaráno! #Školy ... Špilberk 210/1, 662 24 Brno Návštěva hradu. Naplánovat návštěvu. Jak se dostanu na hrad. Plán hradu. Dění na Špilberku. Prohlídky .'}]""]",Špilberk Castle,The name of the castle and fortress that dominates Brno's cityscape is Špilberk Castle.,0.9999999999,1.0,0.9974673338667485,1.0
1,When was Brno granted city privileges?,"['[{\'title\': \'History of Brno - Wikipedia\', \'href\': \'https://en.wikipedia.org/wiki/History_of_Brno\', \'body\': ""In recognition of its services, the city was rewarded with a renewal of its city privileges. In the years following the Thirty Years\' War, the city became an impregnable Baroque fortress. In 1742, the Prussians vainly attempted to conquer the city, and the position of Brno was confirmed with the establishment of a bishopric in 1777.""}, {\'title\': \'Brno - Wikipedia\', \'href\': \'https://en.wikipedia.org/wiki/Brno\', \'body\': \'Brno (/ ˈ b ɜːr n oʊ / BUR-noh, Czech: ⓘ; German: Brünn ⓘ) is a city in the South Moravian Region of the Czech Republic.Located at the confluence of the Svitava and Svratka rivers, Brno has about 400,000 inhabitants, making it the second-largest city in the Czech Republic after the capital, Prague, and one of the 100 largest cities of the European Union.\'}, {\'title\': \'City of Brno - Janáček Academy of Performing Arts - en.jamu.cz\', \'href\': \'https://en.jamu.cz/life-at-jamu/city-of-brno/\', \'body\': \'The city of Brno was granted city privileges by the Czech king Wenceslas I in 1243. However, people have lived in this territory that lies at the confluence of the Svratka and Svitava river basin since prehistoric times. About the year 1000, a settlement giving the city its present name was built near the ford across the Svratka river.\'}, {\'title\': \'Timeline of Brno - Wikipedia\', \'href\': \'https://en.wikipedia.org/wiki/Timeline_of_Brno\', \'body\': \'The following is a timeline of the history of the city of Brno, Moravia, Czech Republic. Prior to 20th century. Part of a series on the. History of Czechoslovakia; Origins of Czechoslovakia: 1918: First Czechoslovak Republic: 1918-1938: Munich Agreement: 1938: Second Czechoslovak Republic: 1938-1939 ...\'}, {\'title\': \'A Brief History of Town Brno - visitbrno.cz\', \'href\': \'https://www.visitbrno.cz/en/a-brief-history-of-town-brno/20/\', \'body\': \'In 1777, Brno became the seat of a bishopric and the church of St. Peter and Paul on Petrov Hill became a cathedral. During the 19th and 20th centuries, Brno essentially turned into an industrial city, later into a city of trade fairs and exhibitions. It grew significantly and swallowed up the original surrounding suburbs. Even today, Brno has ...\'}]']","The city's notable events include receiving city privileges in 1243, being a key location for regional assemblies, and surviving sieges during the Hussite Wars.",The city of Brno was granted city privileges by the Czech king Wenceslas I in 1243.,0.9999999999,1.0,0.9960377412890128,0.4
2,What was the demographic makeup of Brno's central city area around 1900?,"['[{\'title\': \'Timeline of Brno - Wikipedia\', \'href\': \'https://en.wikipedia.org/wiki/Timeline_of_Brno\', \'body\': \'The following is a timeline of the history of the city of Brno, Moravia, Czech Republic. Prior to 20th century. Part of a series on the. History of Czechoslovakia; Origins of Czechoslovakia: 1918: First Czechoslovak Republic: 1918-1938: Munich Agreement ... 1900 - Population: 108,944.\'}, {\'title\': \'PDF Development of the population in the city of Brno in the period 1880-1910\', \'href\': \'https://dspace.cuni.cz/bitstream/handle/20.500.11956/118436/120360176.pdf?sequence=3\', \'body\': \'between 1880-1910, Demographic analysis was performed based on census data (1880, 1890, 1900 and 1910) and statistics of population movements (1881-1910). Basic demographic methods were used for ... demographic characteristics of population of Brno. Demographic revolution started during this time and the data collected show its impact on ...\'}, {\'title\': \'Brno Moravian Provincial Archives, Czechia Census Records\', \'href\': \'https://www.familysearch.org/en/wiki/Brno_Moravian_Provincial_Archives,_Czechia_Census_Records\', \'body\': \'6. Select the census ""Year"". 7. Click the ""Archive number"". 8. Search the collection by image, comparing the information with what you already know about your ancestors to determine which one is your ancestor. You may need to compare the information about more than one person to make this determination.\'}, {\'title\': \'Vývoj obyvatelstva ve městě Brně v letech 1880-1910 - cuni.cz\', \'href\': \'https://dspace.cuni.cz/handle/20.500.11956/118436\', \'body\': \'Department of Demography and Geodemography. Development of the population in the city of Brno in the period 1880-1910 Abstract The aim of this thesis is an analysis and description of population development in the city of Brno between 1880-1910, Demographic analysis was performed based on census data (1880, 1890, 1900 and 1910) and statistics of population movements (1881-1910).\'}, {\'title\': \'Czech Republic Censuses and Inhabitant Registers, 1800-1990\', \'href\': \'https://www.familysearch.org/search/collection/1930345\', \'body\': \'Cite This Collection. ""Czech Republic Censuses and Inhabitant Registers, 1800-1990."" Database with images. FamilySearch. https://FamilySearch.org : 23 March 2024. Moravský Zemský Archiv, Brně (Moravian Land Archives), Brno. Copy Citation. Census images and inhabitant registers for the Czech Republic. Currently includes only those for ...\'}]']","Around 1900, Brno had a predominantly German-speaking population, making up 63% of its central city area, in contrast to its Czech-speaking suburbs.","Around 1900, Brno's central city area had a population of approximately 108,944 according to the demographic analysis performed using census data from that time.",0.9999999999,1.0,0.964786137743109,1.0
3,What happened to the Jews of Brno during World War II?,"['[{\'title\': \'Brno, Czech Republic - Jewish Virtual Library\', \'href\': \'https://www.jewishvirtuallibrary.org/brno\', \'body\': \'During World War II the mass deportation of Jews from Brno and its surrounding commenced on Nov. 26, 1941, when 1,000 Jews were sent to the Minsk ghetto. Another 2,000 were sent to Theresienstadt on Dec. 2 and 5, and 7,000 more were deported between Jan. 28 and May 27, 1942, most perishing in Auschwitz.\'}, {\'title\': \'History of the Jews in the Czech lands - Wikipedia\', \'href\': \'https://en.wikipedia.org/wiki/History_of_the_Jews_in_the_Czech_lands\', \'body\': \'Most Jews lived in large cities such as Prague (35,403 Jews, who made up 4.2% of the population), Brno (11,103, 4.2%), and Ostrava (6,865, 5.5%). [17] Antisemitism in the Czech lands was less prevalent than elsewhere, and was strongly opposed by the national founder and first president, Tomáš Garrigue Masaryk (1850-1937), [18] [19] while ...\'}, {\'title\': \'Brno death march - Wikipedia\', \'href\': \'https://en.wikipedia.org/wiki/Brno_death_march\', \'body\': \'The Brno death march (German: Brünner Todesmarsch) began late on the night of 30 May 1945 when the ethnic German minority in Brno (German: Brünn ⓘ) was expelled to nearby Austria following the capture of the city by the Allies during World War II.Only about half of expellees actually crossed the border. Thousands of people were held in the provisional camps in the border area.\'}, {\'title\': ""Return to Brno: an overdue memorial to the city\'s disappeared Jews"", \'href\': \'https://www.prospectmagazine.co.uk/world/40387/return-to-brno-an-overdue-memorial-to-the-citys-disappeared-jews\', \'body\': \'The remaining 945 were murdered, together with over 77,000 Czech Jews who did not survive the Holocaust. Brno was known as the ""Manchester of the Czech Republic"" with its thriving textile industry. The capital of Moravia, it was a prosperous industrial town and until 1939 home to a substantial Jewish community.\'}, {\'title\': \'Brno - jewish heritage, history, synagogues, museums, areas and sites ...\', \'href\': \'https://jguideeurope.org/en/region/czech-republic/moravia/brno/\', \'body\': ""As a result of the First World War, the city took in many refugees from Eastern Europe, considerably increasing the Jewish population of Brno. The Jewish population in Brno increased from 134 in 1834 to 7809 in 1890 and 10202 in 1930. The city\'s cultural and academic venues allowed for intellectual development. Many of Brno\'s Jews were ...""}]']","During World War II, Brno was a site of suffering with the deportation of Jews to Theresienstadt and later to death camps, and the city underwent heavy bombardment.","During World War II, Brno's Jewish population was subject to mass deportation. The first wave commenced on November 26, 1941, when 1,000 Jews were sent to the Minsk ghetto. Further deportations to Theresienstadt took place in December 1941 and between January and May 1942, with many of these individuals eventually perishing in Auschwitz. Brno was a significant center for Jewish life before the war, with a substantial community in the bustling industrial town.",0.9999999999,1.0,0.9825501638017787,1.0
