,question,contexts,ground_truth,answer,context_precision,faithfulness,answer_relevancy,context_recall
0,What is unique about Kafe v rozkladu in Brno?,"[""[{'title': 'Kafe v rozkladu | Brno - Facebook', 'href': 'https://cs-cz.facebook.com/kafevrozkladu/', 'body': 'Kafe v rozkladu, Brno. 2 457 To se mi líbí · Mluví o tom (21) · Byli tady (631). V srdci Brna vzniká něco nového Výběrová káva Snídaně Víkendové...'}, {'title': 'Kafe v rozkladu | Go To Brno', 'href': 'https://www.gotobrno.cz/ochutnejte/kafe-v-rozkladu/', 'body': 'Radnická 2, 602 00 Brno Tel.: +420 542 427 150 | E-mail: info@ticbrno.cz TIC BRNO, příspěvková organizace je finančně podporována statutárním městem Brnem. Facebook Instagram'}, {'title': 'Kafe v rozkladu (Brno-město) • Firmy.cz', 'href': 'https://www.firmy.cz/detail/13243990-kafe-v-rozkladu-brno-mesto.html', 'body': 'Aktuální ověřené informace: adresa, telefon, otevírací hodiny a hodnocení Kafe v rozkladu, Brno-město. Telefon: 604 320 …'}, {'title': 'Kafe v rozkladu | Brno - Facebook', 'href': 'https://www.facebook.com/kafevrozkladu/', 'body': 'Kafe v rozkladu, Brno, Czech Republic. 2,454 likes · 17 talking about this · 626 were here. V srdci Brna vzniká něco nového Výběrová káva Snídaně...'}, {'title': 'KAFE V ROZKLADU, Brno - Restaurant Reviews, Photos ... - Tripadvisor', 'href': 'https://www.tripadvisor.com/Restaurant_Review-g274714-d19425867-Reviews-Kafe_v_rozkladu-Brno_South_Moravian_Region_Moravia.html', 'body': 'Kafe v rozkladu. Review. Share. 18 reviews #54 of 87 Coffee & Tea in Brno $$ - $$$. Veselá 172/6, Brno 60200 Czech Republic +420 604 320 927 Website. Closed now : See all hours.'}]""]","It combines traditional flavors with modern twists and offers a unique dining experience with specialties like 'brinner', a breakfast served with an evening twist.","Kafe v rozkladu in Brno is known for its specialty coffee and breakfast options. It is a popular spot in the heart of Brno where something new is always brewing. With a focus on quality coffee and delicious breakfast choices, Kafe v rozkladu offers a unique and cozy atmosphere for locals and visitors to enjoy.",0.9999999999,1.0,0.9331383236821068,0.0
1,What is Mitte Panská known for?,"['[""A brewed oasis in the heart of Brno where they really know their coffee. One of the first cafés in Brno to work with premium coffee now has its own roasting place, bakes its own desserts, and has beautiful outdoor seating in a courtyard. Thanks to its wide range of coffee, everyone can find something to suit their palate and even learn about the coffee\'s origins. There are 4 Mitte cafés in Brno.\\nPanská 7\\nMitte Panská Café\\nMitte Panská Café is a popular coffee shop in the heart of Brno known for its premium coffee, own roasting place, and delicious desserts. With beautiful outdoor seating, it offers a wide range of coffees and a chance to learn about the coffee\'s origins. There are 4 Mitte cafés in Brno.; url: mitte.cz""]']","Mitte Panská is one of the pioneering cafés in Brno known for working with premium coffee. It features its own roasting facility, bakes its own desserts, and offers beautiful outdoor seating. The café offers a diverse range of coffee flavors and educates visitors about the origins of their coffee.","Mitte Panská is known for being a popular coffee shop in the heart of Brno that offers premium coffee, has its own roasting place, bakes delicious desserts, and provides beautiful outdoor seating in a courtyard. It is renowned for its wide range of coffees and the opportunity to learn about the coffee's origins. There are a total of 4 Mitte cafés in Brno.",0.9999999999,1.0,0.9999999999999991,1.0
2,What type of coffee experience does Punkt Café offer?,"['[{\'title\': \'Punkt. | Brno - Facebook\', \'href\': \'https://www.facebook.com/punkt.cafe/\', \'body\': \'Punkt., Brno, Czech Republic. 5,768 likes · 3 talking about this · 709 were here. Objednávejte na punkt.sebou.cz Výběrová káva z českých i zahraničních pražíren na espresso i na filt\'}, {\'title\': \'The Sprudge Guide To Coffee In Brno, Czechia | Sprudge Coffee\', \'href\': \'https://sprudge.com/the-sprudge-guide-to-coffee-in-brno-czechia-219014.html\', \'body\': \'Punkt. For this cafe bar, which Brno\\\'s tourism site has called ""a piece of Berlin in Brno"" (translation mine), it\\\'s all in the name: Punkt. offers great coffee—and cake—period.. An oft-praised darling of the Brno specialty coffee scene founded in 2016, Punkt. is located on a residential street to the west of Lužánky Park, a large green space that I like to think of as the Central ...\'}, {\'title\': \'Punkt. | Brno - Facebook\', \'href\': \'https://cs-cz.facebook.com/punkt.cafe/\', \'body\': \'Punkt., Brno. 5 781 To se mi líbí · Mluví o tom (1) · Byli tady (718). Objednávejte na punkt.sebou.cz Výběrová káva z českých i zahraničních pražíren na espresso i na filt Punkt. | Brno\'}, {\'title\': \'Punkt. | Go To Brno\', \'href\': \'https://www.gotobrno.cz/en/taste-brno/punkt/\', \'body\': \'Coffee specialities and wholesome home-made desserts, with gluten-free and vegan options. ... Tell your friends about kavárně Punkt.! Share on Facebook Taste some more Buchta C Café Momenta Café Placzek ... Radnická 2, 602 00 Brno, Czech Republic Tel.: +420 542 427 150 | E-mail: info@ticbrno.cz TIC BRNO is a public-benefit corporation and ...\'}, {\'title\': \'Punkt. - Veveří - 35 tips - Foursquare\', \'href\': \'https://foursquare.com/v/punkt/568ae20c498ef6e346f533b9\', \'body\': \'See 274 photos and 35 tips from 583 visitors to Punkt.. ""Possibly the best coffee in Brno. Also great place to purchase beans for filter (V60) at home...""\'}]']",A Berlin-inspired coffee experience with a selection of espresso and filtered coffees from premium Czech and foreign beans.,"Punkt Café in Brno offers a great coffee experience, with a focus on specialty coffee and homemade desserts. It is praised as a darling of the Brno specialty coffee scene, offering great coffee and cake options. The cafe is known for its selection of coffee from Czech and international roasters for espresso and filter. They also provide gluten-free and vegan options for their wholesome desserts.",0.9999999999,1.0,0.9227676113732087,1.0
3,What does QB Coffee Roasters offer?,"['QB Coffee Roasters offers specialty coffee roasted with care and diligence, based in Brno, CZ.']","QB Coffee Roasters offers premium coffee made on-site, coffee beans, drinks, and snacks.","QB Coffee Roasters offers specialty coffee roasted with care and diligence, based in Brno, CZ.",0.9999999999,1.0,1.0000000000000002,1.0
4,What is Rebelbean Vlněna known for?,"[""['A stylish café with premium coffee from its own roasting place, which is all about quality, sustainability, and fair treatment of farmers. Offering wine by Jan Stávek from Němčky, a wide range of alcoholic, soft, and coffee-based drinks, as well as a lot of delicacies, sandwiches, and desserts. And a great soup at lunchtime.\\nPřízova 5\\nRebelbean Vlnena\\nStylish café with quality coffee, drinks, and delicacies.; url: https://rebelbean.cz']""]",premium coffee from its own roasting place emphasizing quality and sustainability,"Rebelbean Vlnena is known for being a stylish café with premium coffee from its own roasting place. It is all about quality, sustainability, and fair treatment of farmers. They also offer a wide range of alcoholic, soft, and coffee-based drinks, as well as delicacies, sandwiches, and desserts. Additionally, it is known for serving great soup at lunchtime.",0.9999999999,1.0,0.9687731436037472,1.0
5,What significant event occurred near Brno in 1805?,"['[{\'title\': \'About | Napoleon v Brně\', \'href\': \'https://www.napoleonvbrne.cz/en/about/\', \'body\': ""About. The programme of this historical/cultural event draws inspiration from Emperor Napoleon\'s arrival in Brno on November 20, 1805. Organisational constraints make it impossible to follow the exact timing of the arrival; the event is therefore being held in the late afternoon on the Saturday nearest the historic date.""}, {\'title\': \'Timeline of Brno - Wikipedia\', \'href\': \'https://en.wikipedia.org/wiki/Timeline_of_Brno\', \'body\': \'1782 - Brno becomes capital of Moravia-Silesia. 1786 - Lužánky park established. 1805 - 2 December: Battle of Austerlitz occurs near Brno; forces of Napoleon headquartered in city. 1818 - Museum Francisceum founded. Náměstí Svobody (Liberty Square) in the 1820s. 1822/30 - Silvio Pellico an Italian writer confined in Špilberk Castle.\'}, {\'title\': \'Battle of Austerlitz 2nd December 1805 | Bellum.cz\', \'href\': \'https://bellum.cz/en/battle-of-austerlitz.html\', \'body\': ""Historical Context. The Battle of Austerlitz is one of the most important clashes of the Napoleonic Wars, which Napoleon Bonaparte considered to be his greatest victory ever. The battle took place in Moravia not far from today\'s Austerlitz (Slavkov u Brna) in the early December 1805 and not only was this the defeat of the Third Coalition ...""}, {\'title\': \'History of Brno - Wikipedia\', \'href\': \'https://en.wikipedia.org/wiki/History_of_Brno\', \'body\': ""History of Brno. Brno in 1593. Bishop\'s Palace. Špilberk Castle. Brno was recognised as a town in 1243 by Wenceslaus I, King of Bohemia, but the area had been settled since the 2nd century. It is mentioned in Ptolemy\'s atlas of Magna Germania as Eburodunum. [1] From the 11th century, a castle of the governing Přemyslid dynasty stood here, and ...""}, {\'title\': \'Br(u)no: When Napoleon Came to Brno - Brno Daily\', \'href\': \'https://brnodaily.com/2020/11/28/events-in-brno/bruno-when-napoleon-came-to-brno/\', \'body\': \'He was born in Ottawa, Canada, studied English and literature at the University of Toronto and Oxford and travelled to Czechoslovakia a few weeks before August 21, 1968, when Warsaw Pact armies rolled through the country. In March 1969 he returned to the Brno State Language School as a lecturer to observe the aftermath of the Prague Spring.\'}]']",The Battle of Austerlitz,"The significant event that occurred near Brno in 1805 was the arrival of Emperor Napoleon in Brno on November 20, 1805. This historical event is celebrated as a part of the cultural event 'Napoleon v Brně' and is inspired by the Emperor's arrival. The Battle of Austerlitz, one of the most important clashes of the Napoleonic Wars, also occurred near Brno on December 2, 1805, which Napoleon considered to be his greatest victory ever.",0.9999999999,1.0,0.9999999999999991,1.0
6,What is the average temperature in Brno?,"['The warmest month is July with an average high temperature of 76°F (24.4°C) and low temperature of 58°F (14.4°C). The cold season lasts from November to March, with an average daily high temperature below 42°F (5.6°C). January is the coldest month with an average low temperature of 26°F (-3.3°C) and a high temperature of 34°F (1.1°C). The average temperature in Brno throughout the year is 50°F (10°C).']",9.4 °C The city's average temperature is 9.4 °C,"The warmest month is July with an average high temperature of 76°F (24.4°C) and low temperature of 58°F (14.4°C). The cold season lasts from November to March, with an average daily high temperature below 42°F (5.6°C). January is the coldest month with an average low temperature of 26°F (-3.3°C) and a high temperature of 34°F (1.1°C). The average temperature in Brno throughout the year is 50°F (10°C).",0.9999999999,1.0,0.9160181507031192,1.0
7,What is a famous legend in Brno?,"['[{\'title\': \'Brno Dragon - Brno, Czechia - Atlas Obscura\', \'href\': \'https://www.atlasobscura.com/places/brno-dragon\', \'body\': \'Hanging in the Old Town Hall of the largest Moravian city is the carcass of an actual dragon, or so the originators of the Brno Dragon legend would have you believe.. One of the most famous ...\'}, {\'title\': ""Brno\'s Tales and Legends | Foreigners.cz Blog"", \'href\': \'https://blog.foreigners.cz/brno-tales-and-legends/\', \'body\': \'Legend of the Brno Wheel. The wheel that hangs in the Old Town Hall has come to be from a deal made between Georg Birk, a craftsman from Lednice, and his friends for 14 Tolar . He bet that within 12 hours (6am-6pm) he could chop down a tree, make a wheel, and roll it to Brno (45KM). Legend has it that Georg Birk regretted this bet, but really ...\'}, {\'title\': \'21 Amazing Things to do in Brno: Travel Guide, History, Hotels ...\', \'href\': \'https://wonderfulwanderings.com/czechia/brno/\', \'body\': ""Brno is the second-largest city in the Czech Republic. Nestled between the Moravian landscape, Brno\'s history stretches back over a thousand years and its historic center is a testament to its storied past. Notable landmarks include the Špilberk Castle, a medieval fortress that turned into a prison and the awe-inspiring Cathedral of St. Peter and Paul, showcasing a splendid mix of Gothic and ...""}, {\'title\': \'Old Town Hall (Stará radnice) | Go To Brno\', \'href\': \'https://www.gotobrno.cz/en/place/old-town-hall/\', \'body\': ""The oldest secular building in the city, which began in the 13th century, provides a unique view over the historic centre and is bound to the main Brno legends. The twisted pinnacle on the late Gothic portal is said to be the revenge of Anton Pilgram for the council\'s failure to pay. In the entrance way hang the mythic Brno dragon and the famed wheel. Tourists appreciate the renovated TIC ...""}, {\'title\': \'25 Amazing Things to Do in Brno by Local - Czech the World\', \'href\': \'https://czechtheworld.com/things-to-do-in-brno-czech-republic/\', \'body\': ""The most famous legend of Brno - Why the noon is ringed at 11 o\'clock at Petrov - this legend dates back to the Thirty Years\' War when the Swedish army sieged Brno. General Torstenson and his 28 000 men spent 4 months trying to conquer Brno, which had only 1526 defenders.""}]']",The Legend of the Brno Dragon,"One of the most famous legends in Brno is the legend of the Brno Dragon. According to the legend, the carcass of an actual dragon is hanging in the Old Town Hall of Brno. This mythical creature is a significant part of Brno's folklore and history. Legends like these add to the charm and intrigue of the city's culture.",0.9999999999,1.0,0.9424135874583555,1.0
8,What are some of the historical and cultural landmarks in Brno?,"['[""The most visited sights of the city include the Špilberk Castle and fortress and the Cathedral of Saints Peter and Paul on Petrov hill, two medieval buildings that dominate the cityscape and are often depicted as its traditional symbols. The other large preserved castle near the city is Veveří Castle by Brno Reservoir. Another architectural monument of Brno is the functionalist Villa Tugendhat, which was added to the UNESCO list of World Heritage Sites in 2001.\\nBrno, Czech Republic\\nLandmarks and Heritage Sites in Brno\\nBrno is known for its remarkable historical sites including Špilberk Castle, the Cathedral of Saints Peter and Paul, and the UNESCO-listed Villa Tugendhat. These sites, along with Veveří Castle near Brno Reservoir, symbolize the city\'s rich architectural and historical heritage. The landmarks are central to Brno\'s identity and attract numerous visitors.; url: https://en.wikipedia.org/wiki/Brno""]']","Some of the historical and cultural landmarks in Brno include Špilberk Castle, Petrov cathedral, Liberty Square, Moravian Gallery, Líšeň Castle, and Functional Agudas Achim Synagogue.","Some of the historical and cultural landmarks in Brno include the Špilberk Castle, the Cathedral of Saints Peter and Paul, Veveří Castle, and the Villa Tugendhat, which is a UNESCO World Heritage Site.",0.9999999999,1.0,0.9999999999999996,1.0
9,What is the population of Brno?,"['Brno has approximately 398,510 inhabitants, making it the second-largest city in the Czech Republic after the capital, Prague, and one of the 100 largest cities of the European Union.']","about 400,000","Brno has approximately 398,510 inhabitants, making it the second-largest city in the Czech Republic after the capital, Prague, and one of the 100 largest cities of the European Union.",0.9999999999,1.0,1.0000000000000007,1.0
0,What is the name of the castle and fortress that dominates the cityscape of Brno?,"['[""The most visited sights of the city include the Špilberk Castle and fortress and the Cathedral of Saints Peter and Paul on Petrov hill, two medieval buildings that dominate the cityscape and are often depicted as its traditional symbols. The other large preserved castle near the city is Veveří Castle by Brno Reservoir. Another architectural monument of Brno is the functionalist Villa Tugendhat, which was added to the UNESCO list of World Heritage Sites in 2001.\\nBrno, Czech Republic\\nLandmarks and Heritage Sites in Brno\\nBrno is known for its remarkable historical sites including Špilberk Castle, the Cathedral of Saints Peter and Paul, and the UNESCO-listed Villa Tugendhat. These sites, along with Veveří Castle near Brno Reservoir, symbolize the city\'s rich architectural and historical heritage. The landmarks are central to Brno\'s identity and attract numerous visitors.; url: https://en.wikipedia.org/wiki/Brno""]']",Špilberk Castle,The castle and fortress that dominates the cityscape of Brno is Špilberk Castle and fortress. It is a medieval building that is often depicted as a traditional symbol of the city.,0.79969,1.0,0.9886763047662965,1.0
1,When was Brno granted city privileges?,"['[""Brno is located in the Czech Republic, specifically in the South Moravian Region, within the Brno-City District. It was founded around the year 1000. The city covers an area of 230.18 square kilometers, with 225.71 square kilometers being land and 4.47 square kilometers being water. Brno has an elevation ranging from 190 meters (620 feet) to 497 meters (1,631 feet) above sea level. As of the latest data, Brno is designated as a statutory city and has a population of 396,101 inhabitants, with a population density of 1,700 people per square kilometer. The metropolitan area, including surrounding areas, has a population of 696,413 people. Brno operates in the Central European Time Zone (UTC+1) during standard time and switches to Central European Summer Time (UTC+2) during daylight saving time. The postal code for Brno ranges from 600 00 to 650 00. For more information, you can visit the official website of Brno at www.brno.cz.\\n\\nOverview of Brno, Czech Republic\\nBrno, situated in the Czech Republic\'s South Moravian Region, was founded around the year 1000. Covering an area of 230.18 square kilometers, it has a population of 396,101 inhabitants and a metropolitan area population of 696,413 people.; url: https://en.wikipedia.org/wiki/Brno""]']","The city's notable events include receiving city privileges in 1243, being a key location for regional assemblies, and surviving sieges during the Hussite Wars.",Brno was granted city privileges in the year 1243.,0.0,1.0,0.9968491473124231,0.3333333333333333
2,What was the demographic makeup of Brno's central city area around 1900?,"['[{\'text\': \'According to the 2021 census, Brno had 398,510 inhabitants with the largest ethnic groups being Czechs (51.6%), Moravians (18.7%), Slovaks (1.5%), Ukrainians (0.9%), Vietnamese (0.4%), and Poles (0.2%). The city experienced its largest increases in population during the 19th century at the time of the Industrial Revolution, and in 1919 due to a merger with surrounding municipalities. Brno is also a vibrant university city with about 60,000 students and spends approximately 30 million euro annually on culture. It hosts a variety of museums, theatres, and cultural events, and it has seen a significant cultural rebirth since the 1990s with the restoration of historical monuments and expansion of cultural offerings. Moreover, traditional Moravian folklore is preserved in several city districts through folk festivals featuring costumes, wines, music, and dances. Brno also has a unique slang known as Hantec.\', \'address\': None, \'header\': \'Cultural and Demographic Overview of Brno\', \'brief\': \'Brno, with a population of 398,510 based on the 2021 census, is a dynamic cultural hub with a strong emphasis on education and cultural restoration. The city is celebrated for its significant investment in culture, revival of historical sites, and preservation of Moravian traditions through district-specific folk festivals. It also possesses a unique local slang, Hantec, indicative of its rich cultural fabric.\', \'url\': \'https://en.wikipedia.org/wiki/Brno\'}, ""Brno is located in the Czech Republic, specifically in the South Moravian Region, within the Brno-City District. It was founded around the year 1000. The city covers an area of 230.18 square kilometers, with 225.71 square kilometers being land and 4.47 square kilometers being water. Brno has an elevation ranging from 190 meters (620 feet) to 497 meters (1,631 feet) above sea level. As of the latest data, Brno is designated as a statutory city and has a population of 396,101 inhabitants, with a population density of 1,700 people per square kilometer. The metropolitan area, including surrounding areas, has a population of 696,413 people. Brno operates in the Central European Time Zone (UTC+1) during standard time and switches to Central European Summer Time (UTC+2) during daylight saving time. The postal code for Brno ranges from 600 00 to 650 00. For more information, you can visit the official website of Brno at www.brno.cz.\\n\\nOverview of Brno, Czech Republic\\nBrno, situated in the Czech Republic\'s South Moravian Region, was founded around the year 1000. Covering an area of 230.18 square kilometers, it has a population of 396,101 inhabitants and a metropolitan area population of 696,413 people.; url: https://en.wikipedia.org/wiki/Brno"", \'According to the 2021 census, Brno had 398,510 inhabitants. The largest ethnic groups reported (without options to choose between) were Czechs (51.6%), Moravians (18.7%), Slovaks (1.5%), Ukrainians (0.9%), Vietnamese (0.4%), and Poles (0.2%). 23.7% of inhabitants did not write any nationality. In the 2001 census, when the most common nationalities were listed to choose between, 76.1% were Czechs and 18.7% Moravians (94.8% Czechs in the broader sense). Brno experienced its largest increases in population during the 19th century at the time of the Industrial Revolution, and in 1919 due to a merger with surrounding municipalities.\\n\\nDemographics of Brno\\nBrno, the second largest city in the Czech Republic, had 398,510 inhabitants as per the 2021 census. The city boasts a diverse demographic makeup, with Czechs being the largest ethnic group followed by Moravians. In terms of education, Brno hosts several higher education institutions, including Masaryk University, the largest in the city with over 40,000 students, and the Brno University of Technology, one of the largest technical universities in the country.; url: https://en.wikipedia.org/wiki/Brno\']']","Around 1900, Brno had a predominantly German-speaking population, making up 63% of its central city area, in contrast to its Czech-speaking suburbs.","Around 1900, Brno's central city area had a diverse demographic makeup. The largest ethnic groups in Brno at that time included Czechs, Moravians, Slovaks, Ukrainians, Vietnamese, and Poles. The city experienced significant population growth during the 19th century, coinciding with the Industrial Revolution, and in 1919 following a merger with surrounding municipalities.",0.9999999999,0.75,0.923828606270786,0.0
3,What happened to the Jews of Brno during World War II?,"['[{\'text\': ""Between 1941 and 1942, transports from Brno deported 10,081 Jews to Theresienstadt (Terezín) concentration camp. At least another 960 people, mostly of mixed race, followed in 1943 and 1944. After Terezín, many of them were sent to Auschwitz concentration camp, Minsk Ghetto, Rejowiec and other ghettos and concentration camps. Although Terezín was not an extermination camp, 995 people transported from Brno died there. Only 1,033 people returned after the war.\\n\\nIndustrial facilities such as the Československá zbrojovka arms factory and the Zweigwerk aircraft engine factory (which became Zbrojovka\'s subsidiary Zetor after the war) and the city centre were targeted by several Allied bombardment campaigns between 1944 and 1945. The air strikes and later artillery fire killed some 1,200 people and destroyed 1,278 buildings.\\n\\nAfter the city\'s occupation by the Red Army on 26 April 1945 and the end of the war, ethnic German residents were expelled. In the Brno death march, beginning on 31 May 1945, about 27,000 German inhabitants of Brno were marched 64 kilometres (40 miles) to the Austrian border. According to testimony collected by German sources, about 5,200 of them died during the march. Later estimates by Czech sources put the death toll at about 1,700, with most deaths due to an epidemic of shigellosis.\\n\\nAfter the reestablishment of an independent Czechoslovak state after World War II, Prime Minister Edvard Beneš delivered a speech in Brno demanding the expulsion of Germans from Czechoslovakia. Shortly afterwards, 20,000 ethnic Germans from the city were expelled into Allied-occupied Austria.\\n\\nAfter the 1948 Czechoslovak coup d\'état, the Czechoslovak Socialist Republic abolished Moravian autonomy and Brno thus ceased to be the capital of Moravia. Since then Moravia has been divided into administrative regions, with Brno the administrative centre of the South Moravian Region.\\n\\nIn 1960s and 1970s, large panel housing estates were built in border districts, such as Bohunice, Líšeň, Bystrc and Vinohrady. During the communist era, most of the workforc"", \'address\': None, \'header\': \'Historical Overview of Brno During World War II and Post-War Developments\', \'brief\': \'During World War II, Brno was a site of suffering with the deportation of Jews to Theresienstadt and later to death camps, and the city underwent heavy bombardment. After the war, ethnic Germans were expelled from Brno in a forced march known as the Brno death march, resulting in significant casualties. Post-war, Brno saw significant administrative and demographic changes, including the loss of Moravian autonomy and the development of large housing estates during the communist era.\', \'url\': \'https://en.wikipedia.org/wiki/Brno\'}]']","During World War II, Brno was a site of suffering with the deportation of Jews to Theresienstadt and later to death camps, and the city underwent heavy bombardment.","Between 1941 and 1942, transports from Brno deported 10,081 Jews to Theresienstadt (Terezín) concentration camp. At least another 960 people, mostly of mixed race, followed in 1943 and 1944. After Terezín, many of them were sent to Auschwitz concentration camp, Minsk Ghetto, Rejowiec and other ghettos and concentration camps. Although Terezín was not an extermination camp, 995 people transported from Brno died there. Only 1,033 people returned after the war.",0.9999999999,1.0,0.896404931585662,1.0
4,What is the location of Brno in the Czech Republic?,"['Brno is a city in the South Moravian Region of the Czech Republic. Located at the confluence of the Svitava and Svratka rivers, Brno has about 400,000 inhabitants, making it the second-largest city in the Czech Republic after the capital, Prague, and one of the 100 largest cities of the European Union. The Brno metropolitan area has approximately 720,000 inhabitants.']","Brno, located in the southeastern Czech Republic, features the confluence of the Svitava and Svratka rivers, surrounded by various natural water bodies and wooden hills. The city's geography makes it a vital connector at the crossroads of ancient northern and southern European trade routes.","Brno is a city in the South Moravian Region of the Czech Republic. Located at the confluence of the Svitava and Svratka rivers, Brno has about 400,000 inhabitants, making it the second-largest city in the Czech Republic after the capital, Prague, and one of the 100 largest cities of the European Union. The Brno metropolitan area has approximately 720,000 inhabitants.",0.9999999999,0.8,0.969380457699628,0.5
5,What is the population of Brno according to the 2021 census?,"['[""Brno is located in the Czech Republic, specifically in the South Moravian Region, within the Brno-City District. It was founded around the year 1000. The city covers an area of 230.18 square kilometers, with 225.71 square kilometers being land and 4.47 square kilometers being water. Brno has an elevation ranging from 190 meters (620 feet) to 497 meters (1,631 feet) above sea level. As of the latest data, Brno is designated as a statutory city and has a population of 396,101 inhabitants, with a population density of 1,700 people per square kilometer. The metropolitan area, including surrounding areas, has a population of 696,413 people. Brno operates in the Central European Time Zone (UTC+1) during standard time and switches to Central European Summer Time (UTC+2) during daylight saving time. The postal code for Brno ranges from 600 00 to 650 00. For more information, you can visit the official website of Brno at www.brno.cz.\\n\\nOverview of Brno, Czech Republic\\nBrno, situated in the Czech Republic\'s South Moravian Region, was founded around the year 1000. Covering an area of 230.18 square kilometers, it has a population of 396,101 inhabitants and a metropolitan area population of 696,413 people.; url: https://en.wikipedia.org/wiki/Brno""]']","Brno, with a population of 398,510 based on the 2021 census, is a dynamic cultural hub with a strong emphasis on education and cultural restoration.","The population of Brno is 396,101 inhabitants, according to the latest data available.",0.87989969,1.0,0.9569045468135958,1.0
6,What is the historical center of Brno known for?,"['[""Brno boasts an impressive array of historical sights, including a designated World Heritage Site by UNESCO and eight monuments listed as national cultural heritage of the Czech Republic. The city\'s historical center hosts the majority of these landmarks, which is also the third largest historic preservation zone in the Czech Republic, surpassed only by Prague. Key landmarks include Špilberk Castle, a royal castle from the 13th century that later became a fortress and prison, and the neo-Gothic towers of the Cathedral of St. Peter and Paul, finalized in 1909. Other prominent sites include Veveří Castle, the Abbey of Saint Thomas where Gregor Mendel conducted genetic experiments, the gothic Church of Saint James, and the Basilica of the Assumption of Our Lady. Brno also is home to the second-largest ossuary in Europe located beneath the Cabbage Market, known as Brno Ossuary, along with the Capuchin crypt that contains mummies of historical figures and monks. Additionally, the Labyrinth under Zelný trh, a network of ancient cellars opened to the public in 2009, offers a glimpse into medieval storage methods and wartime shelters.\\nBrno, Czech Republic\\nHistorical Sights of Brno\\nBrno houses numerous historical sites including a UNESCO World Heritage Site and eight national monuments. Key attractions include Špilberk Castle, Cathedral of St. Peter and Paul, and Brno Ossuary. The city’s historical center is the third largest preservation zone in the Czech Republic, rich in medieval, gothic, and neo-Gothic architecture.; url: https://en.wikipedia.org/wiki/Brno"", \'Brno Exhibition Centre is among the largest exhibition centres in Europe. The complex opened in 1928 and established the tradition of large exhibitions and trade fairs held in Brno.\\nBrno, Czech Republic\\nBrno Exhibition Centre\\nBrno Exhibition Centre, opened in 1928, stands among the largest exhibition centers in Europe and is known for hosting major trade fairs and exhibitions.; url: https://en.wikipedia.org/wiki/Brno\']']","The historical center of Brno is known for being the third largest preservation zone in the Czech Republic, rich in medieval, gothic, and neo-Gothic architecture.","The historical center of Brno is known for its impressive array of historical sights, including a designated World Heritage Site by UNESCO, eight monuments listed as national cultural heritage of the Czech Republic, Å pilberk Castle, Cathedral of St. Peter and Paul, Brno Ossuary, Veveří Castle, the Abbey of Saint Thomas, the Church of Saint James, the Basilica of the Assumption of Our Lady, and the Labyrinth under Zelný trh.",0.9999999999,1.0,1.0,1.0
7,What is the significance of the Jewish historical sites in Brno?,"[""['Brno boasts significant Jewish historical sites such as a functionalist synagogue, built between 1934 and 1936, and the largest Jewish cemetery in Moravia, tracing back to the 13th century. The synagogue, once at the heart of a community of 12,000 Jews before World War II, saw a drastic reduction to only 1,000 survivors due to Nazi persecution. Today, these sites are maintained by the Brno Jewish community, reflecting a rich history that continues to be preserved.\\nBrno, Czech Republic\\nJewish Historical Sites in Brno\\nBrno houses notable Jewish historical sites including a functionalist synagogue and the largest Jewish cemetery in Moravia, marking a rich and turbulent history. Maintained by the local Jewish community, these sites serve as a testament to the resilience and enduring spirit of the Jewish people in Brno.; url: https://en.wikipedia.org/wiki/Brno']""]","Brno houses notable Jewish historical sites including a functionalist synagogue and the largest Jewish cemetery in Moravia, marking a rich and turbulent history. Maintained by the local Jewish community, these sites serve as a testament to the resilience and enduring spirit of the Jewish people in Brno.","The Jewish historical sites in Brno, Czech Republic, such as the functionalist synagogue and the largest Jewish cemetery in Moravia, hold great significance as they represent a rich and turbulent history. These sites serve as a testament to the resilience and enduring spirit of the Jewish people in Brno.",0.9999999999,1.0,0.9686844947719296,1.0
