Unnamed: 0,question,contexts,ground_truth,answer,context_precision,faithfulness,answer_relevancy,context_recall
0,What is the name of the castle and fortress that dominates the cityscape of Brno?,"['""The most visited sights of the city include the \\u0160pilberk Castle and fortress and the Cathedral of Saints Peter and Paul on Petrov hill, two medieval buildings that dominate the cityscape and are often depicted as its traditional symbols. The other large preserved castle near the city is Veve\\u0159\\u00ed Castle by Brno Reservoir. Another architectural monument of Brno is the functionalist Villa Tugendhat, which was added to the UNESCO list of World Heritage Sites in 2001.\\nBrno, Czech Republic\\nLandmarks and Heritage Sites in Brno\\nBrno is known for its remarkable historical sites including \\u0160pilberk Castle, the Cathedral of Saints Peter and Paul, and the UNESCO-listed Villa Tugendhat. These sites, along with Veve\\u0159\\u00ed Castle near Brno Reservoir, symbolize the city\'s rich architectural and historical heritage. The landmarks are central to Brno\'s identity and attract numerous visitors.; url: https://en.wikipedia.org/wiki/Brno""'
 '""A sweeping castle complex from the 13th century, rebuilt in the 17th and 18th centuries as a mighty military fortress and subsequently as a prison for the most dangerous criminals and political enemies. Parapets with breath-taking views over Brno, and the castle, housing the Brno City Museum and also staging a variety of concerts, theatrical performances and festivals.\\n\\n\\u0160pilberk Castle in Brno\\nExplore the history and architectural grandeur of \\u0160pilberk Castle, a medieval fortress turned military prison, now a cultural venue housing museums and hosting events.; url: https://www.gotobrno.cz/wp-content/uploads/2023/06/TICBRNO-MALY_OFICIAL-EN-WEB.pdf""'
 '{""text"": ""In 1641, during the Thirty Years\' War, Ferdinand III, Holy Roman Emperor and Margrave of Moravia, ordered the permanent relocation of the diet, court, and the land tables from Olomouc to Brno, making Brno the sole capital of the Margraviate of Moravia. Brno later successfully defended itself from the Swedish under General Lennart Torstenson, led by Jean-Louis Raduit de Souches. After the war ended in 1648, Brno\'s status was confirmed by further imperial endorsements and the establishment of its bishopric in 1777. The 17th century also saw \\u0160pilberk Castle transform into a baroque citadel. The 19th century brought significant developments including the Battle of Austerlitz near Brno in 1805, the arrival of the first train from Vienna in 1839 marking the start of rail transport in the Czech Republic, and the commencement of tram services in 1869. Additionally, Gregor Mendel conducted his crucial genetic experiments at St. Thomas\'s Abbey in Brno during the 1850s."", ""address"": null, ""header"": ""Historical Significance of Brno in the 17th and 19th Centuries"", ""brief"": ""Brno played a pivotal role in the 17th and 19th centuries as it transformed into a key administrative and military stronghold. It was during these periods that Brno witnessed the relocation of the Moravian capital from Olomouc, the formidable defense against Swedish sieges, and significant advances in transport and genetics research. The city\'s historical contributions during these times were marked by important events and developments, including the battle of Austerlitz and the pioneering genetic work of Gregor Mendel."", ""url"": ""https://en.wikipedia.org/wiki/Brno""}']",Špilberk Castle,Špilberk Castle and fortress,0.9999999999666668,1.0,0.8907147428936167,1.0
1,When was Brno granted city privileges?,"['{""title"": ""Brno - Wikipedia"", ""href"": ""https://en.wikipedia.org/wiki/Brno"", ""body"": ""Brno (/ \\u02c8 b \\u025c\\u02d0r n o\\u028a / BUR-noh, Czech: \\u24d8; German: Br\\u00fcnn \\u24d8) is a city in the South Moravian Region of the Czech Republic.Located at the confluence of the Svitava and Svratka rivers, Brno has about 400,000 inhabitants, making it the second-largest city in the Czech Republic after the capital, Prague, and one of the 100 largest cities of the European Union.""}'
 '{""title"": ""About the City of Brno \\u2022 Nicholas Chronicles"", ""href"": ""https://www.nicholaschronicles.org/brno/"", ""body"": ""By Randy Nicholas February 26, 2011. Brno is the traditional capital city of Moravia and the second largest city in the Czech Republic. Brno is also administrative center of South Moravian Region and Czech capital of judicial authority. The population of the city is about 405,000 while the population of the greater metropolitan area is about ...""}'
 '{""title"": ""Brno City Authorities - Brno EN"", ""href"": ""https://en.brno.cz/cs/w/brno-city-authorities"", ""body"": ""E-mail: vankova.marketa@brno.cz. 1st Deputy Mayor of Brno: Ren\\u00e9 \\u010cern\\u00fd (ANO 2011) He stands in for the mayor when she is not present to execute the full extent of rights and duties of the mayor, and together with the mayor he signs the legal regulations of the City and minutes from the Brno City Assembly and Brno City Council meetings.""}'
 '{""title"": ""21 Amazing Things to do in Brno: Travel Guide, History, Hotels ..."", ""href"": ""https://wonderfulwanderings.com/czechia/brno/"", ""body"": ""Brno is the second-largest city in the Czech Republic. Nestled between the Moravian landscape, Brno\'s history stretches back over a thousand years and its historic center is a testament to its storied past. Notable landmarks include the \\u0160pilberk Castle, a medieval fortress that turned into a prison and the awe-inspiring Cathedral of St. Peter and Paul, showcasing a splendid mix of Gothic and ...""}'
 '{""title"": ""Is Brno Worth Visiting? 14 Reasons Why You Must - Hey Explorer"", ""href"": ""https://heyexplorer.com/is-brno-worth-visiting/"", ""body"": ""Why Brno is worth visiting. 1. It\'s Prague\'s more affordable brother. Brno offers many of the same highlights as the Czech capital, put into a more condensed, somewhat more compact shell. Most importantly though, the city is far lighter on the wallet. This alone makes it a real gem among Central European big cities.""}']","The city's notable events include receiving city privileges in 1243, being a key location for regional assemblies, and surviving sieges during the Hussite Wars.",Brno was granted city privileges in 1243.,0.249999999975,1.0,0.9999979939374516,0.0
2,What was the demographic makeup of Brno's central city area around 1900?,"['{""title"": ""Brno - Wikipedia"", ""href"": ""https://en.wikipedia.org/wiki/Brno"", ""body"": ""Denis Gardens were founded in the early 19th century and were the first public park in the present-day Czech Republic founded by public authorities. \\u0160pilberk Park is classified as a national cultural sight of the Czech Republic, as a unique piece of landscape architecture. One of Brno\'s more recent additions is the Brno astronomical clock.""}'
 '{""title"": ""Brno History Facts and Timeline: Brno, South Moravia, Czech Republic"", ""href"": ""http://www.world-guides.com/europe/czech-republic/south-moravia/brno/brno_history.html"", ""body"": ""Modern Times Just Around the Corner. The 19th century marked an exciting century in history for so many cities around Europe, and in Brno, it was the building of the steam railway in the late 1830s that had huge knock-on effects for both the city\'s growth and prosperity. Now with direct rail connections to Vienna, the city enjoyed newfound ...""}'
 '{""title"": ""Brno | Czech Republic, Map, & History | Britannica"", ""href"": ""https://www.britannica.com/place/Brno"", ""body"": ""Brno, Czech Republic. Brno, city, southeastern Czech Republic. Brno lies in the eastern foothills of the Bohemian-Moravian Highlands, at the confluence of the Svratka and Svitava rivers. It is the traditional capital of Moravia. North of Brno is the Moravian Karst, a region famous for its caves, grottoes, and gorges.""}'
 '{""title"": ""THIS IS BRNO; Kate\\u0159ina Tu\\u010dkov\\u00e1: In Search of Brno\'s ... - Go To Brno"", ""href"": ""https://www.gotobrno.cz/en/brno-phenomenon/this-is-brno-katerina-tuckova-in-search-of-brnos-industrial-history/"", ""body"": ""At the end of the 19th Century, when Brno was a mighty european textile player, the factory owners here had influence and wealth. In some cases they even wanted to give back to the city, regardless of their origin. ... Radnick\\u00e1 2, 602 00 Brno, Czech Republic Tel.: +420 542 427 150 | E-mail: info@ticbrno.cz TIC BRNO is a public-benefit corporation""}'
 '{""title"": ""A Brief History of Town Brno - visitbrno.cz"", ""href"": ""https://www.visitbrno.cz/en/a-brief-history-of-town-brno/20/"", ""body"": ""In 1777, Brno became the seat of a bishopric and the church of St. Peter and Paul on Petrov Hill became a cathedral. During the 19th and 20th centuries, Brno essentially turned into an industrial city, later into a city of trade fairs and exhibitions. It grew significantly and swallowed up the original surrounding suburbs. Even today, Brno has ...""}']","Around 1900, Brno had a predominantly German-speaking population, making up 63% of its central city area, in contrast to its Czech-speaking suburbs.","Around 1900, Brno's central city area was undergoing significant changes due to industrialization. The city became an important textile manufacturing center in Europe during this time, and its population grew rapidly. Many factory owners gained wealth and influence, some of whom gave back to the city despite their origins.",0.9,1.0,0.9143016474591132,0.0
3,What happened to the Jews of Brno during World War II?,"['{""title"": ""Brno, Czech Republic - Jewish Virtual Library"", ""href"": ""https://www.jewishvirtuallibrary.org/brno"", ""body"": ""During World War II the mass deportation of Jews from Brno and its surrounding commenced on Nov. 26, 1941, when 1,000 Jews were sent to the Minsk ghetto. Another 2,000 were sent to Theresienstadt on Dec. 2 and 5, and 7,000 more were deported between Jan. 28 and May 27, 1942, most perishing in Auschwitz.""}'
 '{""title"": ""The Holocaust in Bohemia and Moravia | Holocaust Encyclopedia"", ""href"": ""https://encyclopedia.ushmm.org/content/en/article/the-holocaust-in-bohemia-and-moravia"", ""body"": ""Overview. According to the 1930 census, 356,830 persons in the Czechoslovak Republic identified themselves as Jews by religion: 117,551 in Bohemia and Moravia, 136,737 in Slovakia, and 102,542 in Subcarpathian Rus.. The partition of Czechoslovakia in 1938-1939 determined the fate of its Jews during World War II.After the breakup of Czechoslovakia, approximately 118,310 persons defined as ...""}'
 '{""title"": ""History of the Jews in the Czech lands - Wikipedia"", ""href"": ""https://en.wikipedia.org/wiki/History_of_the_Jews_in_the_Czech_lands"", ""body"": ""Most Jews lived in large cities such as Prague (35,403 Jews, who made up 4.2% of the population), Brno (11,103, 4.2%), and Ostrava (6,865, 5.5%). [17] Antisemitism in the Czech lands was less prevalent than elsewhere, and was strongly opposed by the national founder and first president, Tom\\u00e1\\u0161 Garrigue Masaryk (1850-1937), [18] [19] while ...""}'
 '{""title"": ""History of the Jews in Czechoslovakia - Wikipedia"", ""href"": ""https://en.wikipedia.org/wiki/History_of_the_Jews_in_Czechoslovakia"", ""body"": ""Most inmates were Czech Jews. About a quarter of the inmates (33,000) died in Theresienstadt, mostly because of the deadly conditions (hunger, stress, and disease, especially the typhus epidemic at the very end of war). About 88,000 were deported to Auschwitz and other extermination camps. When the war finished, there were a mere 17,247 ...""}'
 '{""title"": ""Return to Brno: an overdue memorial to the city\'s disappeared Jews"", ""href"": ""https://www.prospectmagazine.co.uk/world/40387/return-to-brno-an-overdue-memorial-to-the-citys-disappeared-jews"", ""body"": ""The remaining 945 were murdered, together with over 77,000 Czech Jews who did not survive the Holocaust. Brno was known as the \\""Manchester of the Czech Republic\\"" with its thriving textile industry. The capital of Moravia, it was a prosperous industrial town and until 1939 home to a substantial Jewish community.""}']","During World War II, Brno was a site of suffering with the deportation of Jews to Theresienstadt and later to death camps, and the city underwent heavy bombardment.","During World War II, the mass deportation of Jews from Brno and its surrounding commenced on November 26, 1941, when 1,000 Jews were sent to the Minsk ghetto. Another 2,000 were sent to Theresienstadt on December 2 and 5, and 7,000 more were deported between January 28 and May 27, 1942, most perishing in Auschwitz.",0.99999999998,1.0,0.9171764409006062,1.0
4,What is the location of Brno in the Czech Republic?,"['{""title"": ""Brno - Wikipedia"", ""href"": ""https://en.wikipedia.org/wiki/Brno"", ""body"": ""Brno (/ \\u02c8 b \\u025c\\u02d0r n o\\u028a / BUR-noh, Czech: \\u24d8; German: Br\\u00fcnn \\u24d8) is a city in the South Moravian Region of the Czech Republic.Located at the confluence of the Svitava and Svratka rivers, Brno has about 400,000 inhabitants, making it the second-largest city in the Czech Republic after the capital, Prague, and one of the 100 largest cities of the European Union.""}'
 '{""title"": ""Brno Map - Brno-City District, South Moravia, Czech Republic - Mapcarta"", ""href"": ""https://mapcarta.com/Brno"", ""body"": ""Brno. Brno is the major city of Moravia. It is the largest city in Moravia and the second-largest city in the Czech Republic by population and area. It was founded around the year 1000; and since the 14th century, the city served as the capital of Moravia. Photo: Harold, CC BY-SA 3.0. Photo: Sveter, CC BY-SA 3.0.""}'
 '{""title"": ""21 Amazing Things to do in Brno: Travel Guide, History, Hotels ..."", ""href"": ""https://wonderfulwanderings.com/czechia/brno/"", ""body"": ""Brno is the second-largest city in the Czech Republic. Nestled between the Moravian landscape, Brno\'s history stretches back over a thousand years and its historic center is a testament to its storied past. Notable landmarks include the \\u0160pilberk Castle, a medieval fortress that turned into a prison and the awe-inspiring Cathedral of St. Peter and Paul, showcasing a splendid mix of Gothic and ...""}'
 '{""title"": ""Brno | Czech Republic, Map, & History | Britannica"", ""href"": ""https://www.britannica.com/place/Brno"", ""body"": ""Brno, city, southeastern Czech Republic. Brno lies in the eastern foothills of the Bohemian-Moravian Highlands, at the confluence of the Svratka and Svitava rivers. It is the traditional capital of Moravia. North of Brno is the Moravian Karst, a region famous for its caves, grottoes, and gorges.""}'
 '{""title"": ""Brno - Travel guide at Wikivoyage"", ""href"": ""https://en.wikivoyage.org/wiki/Brno"", ""body"": ""Panorama of Brno The Bishop\\u00b4s Palace and the Cathedral of St. Peter and Paul. Brno (pronounced Burno) (German: Br\\u00fcnn, \\u0160tatl in the local dialect) is the major city of Moravia (a historical region in the Czech Republic).It is the largest city in Moravia and the second-largest city in the Czech Republic by population and area. It was founded around the year 1000; and since the 14th century ...""}']","Brno, located in the southeastern Czech Republic, features the confluence of the Svitava and Svratka rivers, surrounded by various natural water bodies and wooden hills. The city's geography makes it a vital connector at the crossroads of ancient northern and southern European trade routes.",Brno is located in the South Moravian Region of the Czech Republic.,0.99999999998,1.0,0.9695564857456452,0.5
5,What is the population of Brno according to the 2021 census?,"['{""title"": ""Brno - Wikipedia"", ""href"": ""https://en.wikipedia.org/wiki/Brno"", ""body"": ""www.brno.cz: Brno (/ \\u02c8 b \\u025c\\u02d0r n o\\u028a / ... Otherwise, until 1642 Olomouc had a larger population than Brno, and was the seat of the only Roman Catholic diocese in Moravia. Unsuccessful Swedish siege in 1645. ... According to the 2021 census, Brno had 398,510 inhabitants. The largest ethnic groups reported ...""}'
 '{""title"": ""Brno-m\\u011bsto (District, Czech Republic) - Population Statistics, Charts ..."", ""href"": ""https://www.citypopulation.de/en/czechrep/admin/jihomoravsk\\u00fd_kraj/CZ0642__brno_m\\u011bsto/"", ""body"": ""Brno-m\\u011bsto. District in Czech Republic. Contents: Population The population development of Brno-m\\u011bsto as well as related information and services (Wikipedia, Google, images).""}'
 '{""title"": ""Population | Census 2021"", ""href"": ""https://scitani.gov.cz/population"", ""body"": ""The Czech Republic had 10,702,94 inhabitants as of June 30, 2021. This year the census revealed many interesting statistics. We are constantly updating and expanding further results and new information.""}'
 '{""title"": ""Brno, Czechia Metro Area Population 1950-2024 | MacroTrends"", ""href"": ""https://www.macrotrends.net/global-metrics/cities/20881/brno/population"", ""body"": ""Chart and table of population level and growth rate for the Brno, Czechia metro area from 1950 to 2024. United Nations population projections are also included through the year 2035. The current metro area population of Brno in 2024 is 380,000, a 0% increase from 2023. The metro area population of Brno in 2023 was 380,000, a 0.26% increase from ...""}'
 '{""title"": ""First Data Released From 2021 Census In The Czech Republic"", ""href"": ""https://brnodaily.com/2022/01/15/news/first-data-released-from-2021-census-in-the-czech-republic/"", ""body"": ""The nationwide average age of the population has reached 42.7 years, and is slightly higher for women (44.1 years) than for men (41.2 years). Of the population aged 15 and over, 32.1% were single and 45.6% married. Among widows, women (13.3%) significantly outnumber men (2.9%). According to the 2021 Census, 4.7% of the population were foreigners.""}']","Brno, with a population of 398,510 based on the 2021 census, is a dynamic cultural hub with a strong emphasis on education and cultural restoration.","According to the 2021 census, Brno had 398,510 inhabitants.",0.99999999998,1.0,0.9630648974759404,1.0
6,What is the historical center of Brno known for?,"['""Brno boasts an impressive array of historical sights, including a designated World Heritage Site by UNESCO and eight monuments listed as national cultural heritage of the Czech Republic. The city\'s historical center hosts the majority of these landmarks, which is also the third largest historic preservation zone in the Czech Republic, surpassed only by Prague. Key landmarks include \\u0160pilberk Castle, a royal castle from the 13th century that later became a fortress and prison, and the neo-Gothic towers of the Cathedral of St. Peter and Paul, finalized in 1909. Other prominent sites include Veve\\u0159\\u00ed Castle, the Abbey of Saint Thomas where Gregor Mendel conducted genetic experiments, the gothic Church of Saint James, and the Basilica of the Assumption of Our Lady. Brno also is home to the second-largest ossuary in Europe located beneath the Cabbage Market, known as Brno Ossuary, along with the Capuchin crypt that contains mummies of historical figures and monks. Additionally, the Labyrinth under Zeln\\u00fd trh, a network of ancient cellars opened to the public in 2009, offers a glimpse into medieval storage methods and wartime shelters.\\nBrno, Czech Republic\\nHistorical Sights of Brno\\nBrno houses numerous historical sites including a UNESCO World Heritage Site and eight national monuments. Key attractions include \\u0160pilberk Castle, Cathedral of St. Peter and Paul, and Brno Ossuary. The city\\u2019s historical center is the third largest preservation zone in the Czech Republic, rich in medieval, gothic, and neo-Gothic architecture.; url: https://en.wikipedia.org/wiki/Brno""'
 '""Brno Exhibition Centre is among the largest exhibition centres in Europe. The complex opened in 1928 and established the tradition of large exhibitions and trade fairs held in Brno.\\nBrno, Czech Republic\\nBrno Exhibition Centre\\nBrno Exhibition Centre, opened in 1928, stands among the largest exhibition centers in Europe and is known for hosting major trade fairs and exhibitions.; url: https://en.wikipedia.org/wiki/Brno""']","The historical center of Brno is known for being the third largest preservation zone in the Czech Republic, rich in medieval, gothic, and neo-Gothic architecture.","The historical center of Brno is known for its impressive array of historical sights, including Špilberk Castle, the Cathedral of St. Peter and Paul, Veveří Castle, the Abbey of Saint Thomas, the Church of Saint James, the Basilica of the Assumption of Our Lady, Brno Ossuary, and the Labyrinth under Zelný trh.",0.99999999995,1.0,0.9479824001152672,1.0
7,What is the significance of the Jewish historical sites in Brno?,"['""Brno boasts significant Jewish historical sites such as a functionalist synagogue, built between 1934 and 1936, and the largest Jewish cemetery in Moravia, tracing back to the 13th century. The synagogue, once at the heart of a community of 12,000 Jews before World War II, saw a drastic reduction to only 1,000 survivors due to Nazi persecution. Today, these sites are maintained by the Brno Jewish community, reflecting a rich history that continues to be preserved.\\nBrno, Czech Republic\\nJewish Historical Sites in Brno\\nBrno houses notable Jewish historical sites including a functionalist synagogue and the largest Jewish cemetery in Moravia, marking a rich and turbulent history. Maintained by the local Jewish community, these sites serve as a testament to the resilience and enduring spirit of the Jewish people in Brno.; url: https://en.wikipedia.org/wiki/Brno""']","Brno houses notable Jewish historical sites including a functionalist synagogue and the largest Jewish cemetery in Moravia, marking a rich and turbulent history. Maintained by the local Jewish community, these sites serve as a testament to the resilience and enduring spirit of the Jewish people in Brno.",The Jewish historical sites in Brno are significant because they reflect a rich and turbulent history of the Jewish community in the city. The functionalist synagogue and the largest Jewish cemetery in Moravia serve as a testament to the resilience and enduring spirit of the Jewish people in Brno.,0.9999999999,1.0,0.983701639375456,1.0
8,What is the oldest theatre building in Central Europe?,"['{""title"": ""Reduta Theatre - Wikipedia"", ""href"": ""https://en.wikipedia.org/wiki/Reduta_Theatre"", ""body"": ""The building, which was first mentioned in 1608, is the oldest theatre building in Central Europe. History At the beginning of the 17th century, Brno city council purchased and remodelled a complex of medieval houses located on Zeln\\u00fd trh. ... Restored Theatre Building in Brno (czechtourism.com) Reduta (archiweb.cz) (in Czech) This page was ...""}'
 '{""title"": ""Reduta Theatre \\u00b7 #VisitCzechia"", ""href"": ""https://www.visitczechia.com/en-us/things-to-do/places/culture/theater-and-music/c-brno-reduta-theatre"", ""body"": ""The oldest theatre building in Central Europe. It is a Conner house situated on the Vegetable Market (Zeln\\u00fd trh) which was built at the beginning of the 17th century and later converted to a tavern that served as a meeting point for the wandering theatre societies. The City Council used the place as a venue of various social events and theatre performances. The place saw the first staging of ...""}'
 '{""title"": ""Reduta Theatre - Theatre World Brno 2024 - divadelnisvet.cz"", ""href"": ""https://divadelnisvet.cz/en/reduta-theatre/"", ""body"": ""Zeln\\u00fd trh 4, Brno. Evening box office: +420 542 424 560 - open 45 minutes before shows. ABOUT THEATRE. Reduta is the oldest theatre building in Central Europe, which has undergone many changes since 1640. It succumbed to four devastating fires and it was rebuilt countless times. In 1993 it was closed due to critical condition.""}'
 '{""title"": ""Brno - Wikipedia"", ""href"": ""https://en.wikipedia.org/wiki/Brno"", ""body"": ""Reduta Theatre, the oldest theatre in Central Europe. Brno has a long theatre tradition. Brno has the oldest theatre building in Central Europe, the Reduta Theatre on Zeln\\u00fd trh. The first theatre plays in Brno probably took place in the 1660s in the City Tavern, today\'s Reduta Theatre; however, the first theatre with boxes was built in this ...""}'
 '{""title"": ""GO TO BRNO\'S THEATRES | Go To Brno"", ""href"": ""https://www.gotobrno.cz/en/explore-brno/go-to-brnos-theatres/"", ""body"": ""The oldest theatre in Central Europe, with a progressive spirit Brno City Theatre (M\\u011bstsk\\u00e9 divadlo Brno) ... Brno is full of valuable historical buildings and interesting places. For a true feel of just how amazing this city is, here\'s a list of its must-see locations. ... Tel.: +420 542 427 150 | E-mail: info@ticbrno.cz TIC BRNO is a ...""}']",The Reduta Theatre,The oldest theatre building in Central Europe is Reduta Theatre.,0.999999999975,1.0,1.0000000000000002,1.0
9,What are some of the prominent cultural institutions in Brno?,"['""Brno is enriched with prominent cultural and educational institutions. Key venues include the Moravian Museum, the second largest museum in the Czech Republic with a collection exceeding 6 million items. The Moravian Library, boasting around 4 million volumes, stands as the second largest library in the country. The Moravian Gallery, the largest of its kind in Moravia and the second largest in the Czech Republic, offers extensive artistic exhibits. The Anthropos Pavilion, part of the Moravian Museum, explores the earliest history of mankind and prehistoric Europe. The Technical Museum in Brno, the largest in Moravia, features permanent exhibitions that detail the progress of science and technology with realistic models and restored machines. Additionally, the Va\\u0161ulka Kitchen Brno, established in 2016, is located in the Brno House of Arts and includes an archive and permanent exhibition of works by Steina and Woody Vasulka. On the educational front, Brno is a vital hub with over 62,000 students enrolled in its higher education institutions. Masaryk University, the largest in Brno and the second biggest in the country, offers a wide range of academic programs across its nine faculties. The Brno University of Technology, established in 1899, is among the country\'s leading technical universities. Mendel University, named after genetics pioneer Gregor Mendel, has around 10,000 students.\\nBrno, Czech Republic\\nCultural and Educational Highlights of Brno\\nBrno hosts several premier cultural and educational institutions, including the Moravian Museum, Moravian Library, and Moravian Gallery, all significant in their respective fields in the Czech Republic. The city is also a crucial educational center with over 62,000 students spread across multiple universities and institutions such as Masaryk University and Brno University of Technology. These institutions not only advance academic and professional knowledge but also maintain and celebrate the historical and cultural heritage of the region.; url: https://en.wikipedia.org/wiki/Brno""'
 '""The city spends about 30 million euro every year on culture. A vibrant university city with about 60,000 students, Brno is home to many museums, theatres and other cultural institutions, and also hosts a number of festivals and other cultural events. Since the 1990s Brno has experienced a great cultural \'rebirth\': fa\\u00e7ades of historical monuments are being repaired and various exhibitions, shows, etc., are being established or extended. In 2007 a summit of 15 presidents of EU Member States was held in Brno. Despite its urban character, some of the city districts still preserve traditional Moravian folklore, including folk festivals with traditional Moravian costumes, Moravian wines, folk music and dances. Unlike smaller municipalities, in Brno annual traditional Moravian folk festivals are held in several city districts, including \\u017didenice, L\\u00ed\\u0161e\\u0148, and Ivanovice. Hantec is a unique slang that originated in Brno. The biggest festival in Brno is the fireworks competition festival, Ignis Brunensis (Latin for \'Flame of Brno\'), held annually in June, part of the \'Brno \\u2013 City in the Centre of Europe\' festival. Ignis Brunensis is the biggest show of its kind in Central Europe, usually attracting 100,000\\u2013200,000 visitors to each display. The international film festival Cinema Mundi screens about 60 films competing for Oscar nomination in the category of Best Foreign Language Film. Theatre World Brno is another international festival held annually in the city, in which Brno theatres and the city centre stage around 100 performances by national and foreign ensembles. Other festivals held regularly in Brno include the International Music Festival Brno, the Spilberk International Music Festival, and the Summer Shakespeare Festival. Every September, Brno hosts a wine festival, Slavnosti v\\u00edna, to celebrate the harvest in the surrounding wine-producing region.\\n\\nCultural Scene of Brno\\nBrno boasts a vibrant cultural scene with an annual investment of approximately 30 million euros. The city, home to around 60,000 students, features numerous museums, theaters, festivals, and cultural events.; url: https://en.wikipedia.org/wiki/Brno""']","Some of the prominent cultural institutions in Brno include the Moravian Museum, Moravian Library, Moravian Gallery, Anthropos Pavilion, Technical Museum, and Vašulka Kitchen Brno.","Brno is enriched with prominent cultural and educational institutions. Key venues include the Moravian Museum, the second largest museum in the Czech Republic with a collection exceeding 6 million items. The Moravian Library, boasting around 4 million volumes, stands as the second largest library in the country.",0.99999999995,1.0,0.9831080191114424,1.0
0,When was the Janáček Academy of Music and Performing Arts established?,"['{""title"": ""Jan\\u00e1\\u010dek Academy of Performing Arts - Wikipedia"", ""href"": ""https://en.wikipedia.org/wiki/Jan\\u00e1\\u010dek_Academy_of_Performing_Arts"", ""body"": ""The Jan\\u00e1\\u010dek Academy of Performing Arts (Czech: Jan\\u00e1\\u010dkova akademie m\\u00fazick\\u00fdch um\\u011bn\\u00ed v Brn\\u011b; abbreviation in Czech: JAMU) is a public university with an artistic focus in Brno, Czech Republic. It was established in 1947 and consists of two faculties: the Faculty of Music and the Faculty of Theater.""}'
 '{""title"": ""History of Jan\\u00e1\\u010dek Academy of Performing Arts - Music Faculty"", ""href"": ""https://en.hf.jamu.cz/about-us/history/history-of-janacek-academy-of-performing-arts/"", ""body"": ""A series of articles by Leo\\u0161 Jan\\u00e1\\u010dek in the Moravsk\\u00e1 orlice magazine proposes the establishment of a university of music in Brno 22 March 1920 Act No 183/1920 Sb. establishes the State Conservatory of Music and Drama in Brno; this also includes master classes in composition (L. Jan\\u00e1\\u010dek) and piano (Vil\\u00e9m Kurz), which followed the ...""}'
 '{""title"": ""ABOUT US - Jan\\u00e1\\u010dek Academy of Performing Arts"", ""href"": ""https://en.jamu.cz/about-us/"", ""body"": ""The Jan\\u00e1\\u010dek Academy of Performing Arts (JAMU) is an art higher education institution, one of four in the Czech Republic. It was founded in 1947 and currently consists of two faculties, the Faculty of Music and the Theatre Faculty. There are approximately 750 students studying in more than 30 bachelor\'s, master\'s or doctoral fields of ...""}'
 '{""title"": ""About JAMU - Jan\\u00e1\\u010dkova akademie m\\u00fazick\\u00fdch um\\u011bn\\u00ed"", ""href"": ""https://www.jamu.cz/international/international-office/about-jamu/"", ""body"": ""The Jan\\u00e1\\u010dek Academy of Performing Arts (JAMU) is a public higher education institution (HEI) founded 12 th September 1947. Its beginnings had been preceded by efforts connected to the name of Leo\\u0161 Jan\\u00e1\\u010dek, including foundation of an organ school in 1881 and of the Brno Conservatory in 1919. The JAMU\\u00b4s main role is to provide tertiary ...""}'
 '{""title"": ""Jan\\u00e1\\u010dek Academy of Performing Arts"", ""href"": ""https://en.jamu.cz/"", ""body"": ""Leo\\u0161 Jan\\u00e1\\u010dek. Leos Jan\\u00e1\\u010dek is one of the most remarkable appearance not only Czech but also world music cultures. Born 3 July 3, 1854 in Hukvald as a ninth child of a rural teacher, came to Brno at eleven years to give a thorough musical education in the Funda of the old-heart monastery, and Brno teamed all his life. Next.""}']",Janáček Academy of Music and Performing Arts was established in 1947 in Brno.,The Janáček Academy of Music and Performing Arts was established in 1947.,0.999999999975,1.0,0.9999999999999992,1.0
