question,ground_truth,contexts,answer,context_precision,answer_relevancy,faithfulness,context_recall
What are some of the historical and cultural landmarks in Brno?,"Some of the historical and cultural landmarks in Brno include Špilberk Castle, Petrov cathedral, Liberty Square, Moravian Gallery, Líšeň Castle, and Functional Agudas Achim Synagogue.","[""Brno, the vibrant heart of Moravia, is rich with historical and cultural landmarks. Key attractions include Špilberk Castle, Petrov cathedral, and the Liberty Square, the main square in the Middle Ages. Other notable spots are the Bishop's Palace, Tivoli, Hotel Grand, and the unique Brno astronomical clock. Masarykova Street and Moravian Gallery at Pražák Palace offer a glimpse into the city's bustling life and artistic heritage. Líšeň Castle and the New Town Hall represent historical governance, while Denis Gardens features an obelisk commemorating notable events. The Functionalist Agudas Achim Synagogue, designed by Otto Eisler, showcases modernist architectural influences. Additionally, the Central Bus Station and the Red Army Statue in Park Moravské náměsti reflect parts of the city’s more recent history.\nBrno, Czech Republic\nExploring Brno: Historical Sights and Culture\nBrno, a key city in Moravia, features a variety of historical and cultural landmarks including Špilberk Castle, Petrov cathedral, and Liberty Square. Other significant sites include the Moravian Gallery, Líšeň Castle, and Functional Agudas Achim Synagogue. The city blends medieval history with modern cultural influences.; url: https://en.wikipedia.org/wiki/Brno"", ""The most visited sights of the city include the Špilberk Castle and fortress and the Cathedral of Saints Peter and Paul on Petrov hill, two medieval buildings that dominate the cityscape and are often depicted as its traditional symbols. The other large preserved castle near the city is Veveří Castle by Brno Reservoir. Another architectural monument of Brno is the functionalist Villa Tugendhat, which was added to the UNESCO list of World Heritage Sites in 2001.\nBrno, Czech Republic\nLandmarks and Heritage Sites in Brno\nBrno is known for its remarkable historical sites including Špilberk Castle, the Cathedral of Saints Peter and Paul, and the UNESCO-listed Villa Tugendhat. These sites, along with Veveří Castle near Brno Reservoir, symbolize the city's rich architectural and historical heritage. The landmarks are central to Brno's identity and attract numerous visitors.; url: https://en.wikipedia.org/wiki/Brno""]","Brno, the vibrant heart of Moravia, is rich with historical and cultural landmarks. Key attractions include Špilberk Castle, Petrov cathedral, and the Liberty Square, the main square in the Middle Ages. Other notable spots are the Bishop's Palace, Tivoli, Hotel Grand, and the unique Brno astronomical clock. Masarykova Street and Moravian Gallery at Pražák Palace offer a glimpse into the city's bustling life and artistic heritage. Líšeň Castle and the New Town Hall represent historical governance, while Denis Gardens features an obelisk commemorating notable events. The Functionalist Agudas Achim Synagogue, designed by Otto Eisler, showcases modernist architectural influences. Additionally, the Central Bus Station and the Red Army Statue in Park Moravské náměsti reflect parts of the city’s more recent history.
Brno, Czech Republic
Exploring Brno: Historical Sights and Culture
Brno, a key city in Moravia, features a variety of historical and cultural landmarks including Špilberk Castle, Petrov cathedral, and Liberty Square. Other significant sites include the Moravian Gallery, Líšeň Castle, and Functional Agudas Achim Synagogue. The city blends medieval history with modern cultural influences.",0.9519999999048,0.9365860966114201,1.0,1.0
What is the population of Brno?,"about 400,000","[{'text': 'Brno (/ˈbɜːrnoʊ/BUR-noh, Czech: [ˈbr̩no]; German: Brünn[bʁʏn]) is a city in theSouth Moravian Region of the Czech Republic. Located at the confluence of the Svitava and Svratka rivers, Brno has about 400,000 inhabitants, making it the second-largest city in the Czech Republic after the capital, Prague, and one of the 100 largest cities of the European Union. The Brno metropolitan area has approximately 720,000 inhabitants.', 'address': None, 'header': 'Brno, Czech Republic', 'url': 'https://en.wikipedia.org/wiki/Brno', 'brief': 'Brno is the second-largest city in the Czech Republic, located in the South Moravian Region. It lies at the confluence of the Svitava and Svratka rivers and has about 400,000 residents. The metropolitan area around Brno has approximately 720,000 inhabitants.'}, ""Brno is located in the Czech Republic, specifically in the South Moravian Region, within the Brno-City District. It was founded around the year 1000. The city covers an area of 230.18 square kilometers, with 225.71 square kilometers being land and 4.47 square kilometers being water. Brno has an elevation ranging from 190 meters (620 feet) to 497 meters (1,631 feet) above sea level. As of the latest data, Brno is designated as a statutory city and has a population of 396,101 inhabitants, with a population density of 1,700 people per square kilometer. The metropolitan area, including surrounding areas, has a population of 696,413 people. Brno operates in the Central European Time Zone (UTC+1) during standard time and switches to Central European Summer Time (UTC+2) during daylight saving time. The postal code for Brno ranges from 600 00 to 650 00. For more information, you can visit the official website of Brno at www.brno.cz.\n\nOverview of Brno, Czech Republic\nBrno, situated in the Czech Republic's South Moravian Region, was founded around the year 1000. Covering an area of 230.18 square kilometers, it has a population of 396,101 inhabitants and a metropolitan area population of 696,413 people.; url: https://en.wikipedia.org/wiki/Brno""]","Brno has about 400,000 inhabitants, making it the second-largest city in the Czech Republic after the capital, Prague, and one of the 100 largest cities of the European Union.",0.95199999998096,0.8930306471531848,1.0,1.0
What is the name of the castle and fortress that dominates the cityscape of Brno?,Špilberk Castle,"[""Church tower over 90 metres tall. Tall tower features a rather surprising statue. Headstones of prominent citizens of Brno. One of the country's most valuable late Gothic buildings. The Church of St James in Brno was first mentioned in writing in 1228. Originally a Romanesque building, it was later replaced by a Gothic church. The construction on its three naves, in which builder Anton Pilgram participated, was interrupted by a fire in 1515. The church was repaired and completed in 1592. In the mid-18th century, its interior was modified in the Baroque style. Its Gothic look was restored in the 1870s when the main altar was created in its current form. The three naves, with their majestic pillars and lovely vaults, contain a number of tombstones of local citizens and prominent people related to the history of Brno, including Jean-Louis Raduit de Souches, the commander who successfully defended Brno during the Swedish siege of 1645. The church tower, completed in 1592, is one of the dominant features of Brno. It is 94 metres tall and features a surprising statue on the southern side: a small man showing his buttocks to passersby. The church was surrounded by a cemetery, which was closed due to the 1784 reforms by Emperor Joseph II. In 2001, an underground ossuary was discovered and is now open to the public.\nJakubské nám. 101/2 60200 Brno\nChurch of St James (Kostel sv. Jakuba)\nSt. James Church is an impressive late Gothic building with a tower over 90 meters tall. The church features a surprising statue on the tower and contains the headstones of prominent citizens of Brno. Originally Romanesque, it was later replaced by a Gothic church that has undergone various architectural changes over the centuries, including periods of Baroque and Gothic restoration.; url: https://www.gotobrno.cz/en/place/church-of-st-james-kostel-sv-jakuba/""]",The name of the castle and fortress that dominates the cityscape of Brno is none.,0.9519999999682667,0.2347778570398976,0.2,0.0
When was Brno granted city privileges?,"The city's notable events include receiving city privileges in 1243, being a key location for regional assemblies, and surviving sieges during the Hussite Wars.","[{'title': 'History of Brno - Wikipedia', 'href': 'https://en.wikipedia.org/wiki/History_of_Brno', 'body': ""In recognition of its services, the city was rewarded with a renewal of its city privileges. In the years following the Thirty Years' War, the city became an impregnable Baroque fortress. In 1742, the Prussians vainly attempted to conquer the city, and the position of Brno was confirmed with the establishment of a bishopric in 1777.""}, {'title': 'Brno History Facts and Timeline: Brno, South Moravia, Czech Republic', 'href': 'http://www.world-guides.com/europe/czech-republic/south-moravia/brno/brno_history.html', 'body': ""Modern Times Just Around the Corner. The 19th century marked an exciting century in history for so many cities around Europe, and in Brno, it was the building of the steam railway in the late 1830s that had huge knock-on effects for both the city's growth and prosperity. Now with direct rail connections to Vienna, the city enjoyed newfound ...""}, {'title': 'City of Brno - Janáček Academy of Performing Arts - en.jamu.cz', 'href': 'https://en.jamu.cz/life-at-jamu/city-of-brno/', 'body': 'The city of Brno was granted city privileges by the Czech king Wenceslas I in 1243. However, people have lived in this territory that lies at the confluence of the Svratka and Svitava river basin since prehistoric times. About the year 1000, a settlement giving the city its present name was built near the ford across the Svratka river.'}, {'title': 'Brno - Wikipedia', 'href': 'https://en.wikipedia.org/wiki/Brno', 'body': 'Brno (/ ˈ b ɜːr n oʊ / BUR-noh, Czech: ⓘ; German: Brünn ⓘ) is a city in the South Moravian Region of the Czech Republic.Located at the confluence of the Svitava and Svratka rivers, Brno has about 400,000 inhabitants, making it the second-largest city in the Czech Republic after the capital, Prague, and one of the 100 largest cities of the European Union.'}, {'title': 'A Brief History of Town Brno - visitbrno.cz', 'href': 'https://www.visitbrno.cz/en/a-brief-history-of-town-brno/20/', 'body': 'In 1777, Brno became the seat of a bishopric and the church of St. Peter and Paul on Petrov Hill became a cathedral. During the 19th and 20th centuries, Brno essentially turned into an industrial city, later into a city of trade fairs and exhibitions. It grew significantly and swallowed up the original surrounding suburbs. Even today, Brno has ...'}]",The city of Brno was granted city privileges by the Czech king Wenceslas I in 1243.,0.2379999999762,0.9371981199181797,1.0,0.0
What was the demographic makeup of Brno's central city area around 1900?,"Around 1900, Brno had a predominantly German-speaking population, making up 63% of its central city area, in contrast to its Czech-speaking suburbs.","[{'title': 'Brno - Wikipedia', 'href': 'https://en.wikipedia.org/wiki/Brno', 'body': 'Brno (/ ˈ b ɜːr n oʊ / BUR-noh, Czech: ⓘ; German: Brünn ⓘ) is a city in the South Moravian Region of the Czech Republic.Located at the confluence of the Svitava and Svratka rivers, Brno has about 400,000 inhabitants, making it the second-largest city in the Czech Republic after the capital, Prague, and one of the 100 largest cities of the European Union.'}, {'title': 'PDF Development of the population in the city of Brno in the period 1880-1910', 'href': 'https://dspace.cuni.cz/bitstream/handle/20.500.11956/118436/120360176.pdf?sequence=3', 'body': 'demographic characteristics of population of Brno. Demographic revolution started during this time and the data collected show its impact on the studied population. The results of the analysis indicate a population growth mainly due to migration, and change in age structure that exhibit aging of the population. Lastly, the data show that ...'}, {'title': 'A Brief History of Town Brno - visitbrno.cz', 'href': 'https://www.visitbrno.cz/en/a-brief-history-of-town-brno/20/', 'body': 'In 1777, Brno became the seat of a bishopric and the church of St. Peter and Paul on Petrov Hill became a cathedral. During the 19th and 20th centuries, Brno essentially turned into an industrial city, later into a city of trade fairs and exhibitions. It grew significantly and swallowed up the original surrounding suburbs. Even today, Brno has ...'}, {'title': 'City of Brno - Mahler Foundation', 'href': 'https://mahlerfoundation.org/mahler/locations/czech-republic/brno/city-of-brno/', 'body': 'The city was also referred to as Brunn in English, but this usage is not common today. 1900. City of Brno. In 1839 the first train arrived in Brno from Vienna, this was the beginning of rail transport in what is now the Czech Republic. ... City of Brno. Around 1900 Brno, which until 1918 consisted in administrative terms only of the central ...'}, {'title': 'History of Brno - Wikipedia', 'href': 'https://en.wikipedia.org/wiki/History_of_Brno', 'body': ""History of Brno. Brno in 1593. Bishop's Palace. Špilberk Castle. Brno was recognised as a town in 1243 by Wenceslaus I, King of Bohemia, but the area had been settled since the 2nd century. It is mentioned in Ptolemy's atlas of Magna Germania as Eburodunum. [1] From the 11th century, a castle of the governing Přemyslid dynasty stood here, and ...""}]","According to available data, around 1900, Brno's central city area had a demographic makeup of a growing population primarily due to migration and industrialization. The city was recognized as a significant hub for trade fairs and exhibitions.",0.6,0.856883503998681,1.0,0.0
What happened to the Jews of Brno during World War II?,"During World War II, Brno was a site of suffering with the deportation of Jews to Theresienstadt and later to death camps, and the city underwent heavy bombardment.","[{'text': ""Between 1941 and 1942, transports from Brno deported 10,081 Jews to Theresienstadt (Terezín) concentration camp. At least another 960 people, mostly of mixed race, followed in 1943 and 1944. After Terezín, many of them were sent to Auschwitz concentration camp, Minsk Ghetto, Rejowiec and other ghettos and concentration camps. Although Terezín was not an extermination camp, 995 people transported from Brno died there. Only 1,033 people returned after the war.\n\nIndustrial facilities such as the Československá zbrojovka arms factory and the Zweigwerk aircraft engine factory (which became Zbrojovka's subsidiary Zetor after the war) and the city centre were targeted by several Allied bombardment campaigns between 1944 and 1945. The air strikes and later artillery fire killed some 1,200 people and destroyed 1,278 buildings.\n\nAfter the city's occupation by the Red Army on 26 April 1945 and the end of the war, ethnic German residents were expelled. In the Brno death march, beginning on 31 May 1945, about 27,000 German inhabitants of Brno were marched 64 kilometres (40 miles) to the Austrian border. According to testimony collected by German sources, about 5,200 of them died during the march. Later estimates by Czech sources put the death toll at about 1,700, with most deaths due to an epidemic of shigellosis.\n\nAfter the reestablishment of an independent Czechoslovak state after World War II, Prime Minister Edvard Beneš delivered a speech in Brno demanding the expulsion of Germans from Czechoslovakia. Shortly afterwards, 20,000 ethnic Germans from the city were expelled into Allied-occupied Austria.\n\nAfter the 1948 Czechoslovak coup d'état, the Czechoslovak Socialist Republic abolished Moravian autonomy and Brno thus ceased to be the capital of Moravia. Since then Moravia has been divided into administrative regions, with Brno the administrative centre of the South Moravian Region.\n\nIn 1960s and 1970s, large panel housing estates were built in border districts, such as Bohunice, Líšeň, Bystrc and Vinohrady. During the communist era, most of the workforc"", 'address': None, 'header': 'Historical Overview of Brno During World War II and Post-War Developments', 'url': 'https://en.wikipedia.org/wiki/Brno', 'brief': 'During World War II, Brno was a site of suffering with the deportation of Jews to Theresienstadt and later to death camps, and the city underwent heavy bombardment. After the war, ethnic Germans were expelled from Brno in a forced march known as the Brno death march, resulting in significant casualties. Post-war, Brno saw significant administrative and demographic changes, including the loss of Moravian autonomy and the development of large housing estates during the communist era.'}]","Between 1941 and 1942, transports from Brno deported 10,081 Jews to Theresienstadt (Terezín) concentration camp. At least another 960 people, mostly of mixed race, followed in 1943 and 1944. After Terezín, many of them were sent to Auschwitz concentration camp, Minsk Ghetto, Rejowiec and other ghettos and concentration camps. Although Terezín was not an extermination camp, 995 people transported from Brno died there. Only 1,033 people returned after the war.

Industrial facilities such as the Československá zbrojovka arms factory and the Zweigwerk aircraft engine factory (which became Zbrojovka's subsidiary Zetor after the war) and the city centre were targeted by several Allied bombardment campaigns between 1944 and 1945. The air strikes and later artillery fire killed some 1,200 people and destroyed 1,278 buildings.

After the city's occupation by the Red Army on 26 April 1945 and the end of the war, ethnic German residents were expelled. In the Brno death march, beginning on 31 May 1945, about 27,000 German inhabitants of Brno were marched 64 kilometres (40 miles) to the Austrian border. According to testimony collected by German sources, about 5,200 of them died during the march. Later estimates by Czech sources put the death toll at about 1,700, with most deaths due to an epidemic of shigellosis.

After the reestablishment of an independent Czechoslovak state after World War II, Prime Minister Edvard Beneš delivered a speech in Brno demanding the expulsion of Germans from Czechoslovakia. Shortly afterwards, 20,000 ethnic Germans from the city were expelled into Allied-occupied Austria.

After the 1948 Czechoslovak coup d'état, the Czechoslovak Socialist Republic abolished Moravian autonomy and Brno thus ceased to be the capital of Moravia. Since then Moravia has been divided into administrative regions, with Brno the administrative centre of the South Moravian Region.

In 1960s and 1970s, large panel housing estates were built in border districts, such as Bohunice, Líšeň, Bystrc and Vinohrady. During the communist era, most of the workforce",0.95199999998096,0.8595777604120481,1.0,1.0
What is the location of Brno in the Czech Republic?,"Brno, located in the southeastern Czech Republic, features the confluence of the Svitava and Svratka rivers, surrounded by various natural water bodies and wooden hills. The city's geography makes it a vital connector at the crossroads of ancient northern and southern European trade routes.","[{'text': 'Brno (/ˈbɜːrnoʊ/BUR-noh, Czech: [ˈbr̩no]; German: Brünn[bʁʏn]) is a city in theSouth Moravian Region of the Czech Republic. Located at the confluence of the Svitava and Svratka rivers, Brno has about 400,000 inhabitants, making it the second-largest city in the Czech Republic after the capital, Prague, and one of the 100 largest cities of the European Union. The Brno metropolitan area has approximately 720,000 inhabitants.', 'address': None, 'header': 'Brno, Czech Republic', 'url': 'https://en.wikipedia.org/wiki/Brno', 'brief': 'Brno is the second-largest city in the Czech Republic, located in the South Moravian Region. It lies at the confluence of the Svitava and Svratka rivers and has about 400,000 residents. The metropolitan area around Brno has approximately 720,000 inhabitants.'}, 'Adamovská 6, 644 00 Brno, +420 541 239 135, info@utechov.brno.cz\nAdamovská 6, 644 00 Brno\nOverview of Brno-Útěchov Municipal District\nThe overview provides information about the Brno-Útěchov Municipal District, including its location, contact details, and administrative structure.; url: https://www.brno.cz/mestske-casti-prehled']","Brno is a city in the South Moravian Region of the Czech Republic. Located at the confluence of the Svitava and Svratka rivers, Brno has about 400,000 inhabitants, making it the second-largest city in the Czech Republic after the capital, Prague, and one of the 100 largest cities of the European Union. The Brno metropolitan area has approximately 720,000 inhabitants.",0.95199999998096,0.9086683384408187,1.0,0.5
What is the population of Brno according to the 2021 census?,"Brno, with a population of 398,510 based on the 2021 census, is a dynamic cultural hub with a strong emphasis on education and cultural restoration.","[""Brno is located in the Czech Republic, specifically in the South Moravian Region, within the Brno-City District. It was founded around the year 1000. The city covers an area of 230.18 square kilometers, with 225.71 square kilometers being land and 4.47 square kilometers being water. Brno has an elevation ranging from 190 meters (620 feet) to 497 meters (1,631 feet) above sea level. As of the latest data, Brno is designated as a statutory city and has a population of 396,101 inhabitants, with a population density of 1,700 people per square kilometer. The metropolitan area, including surrounding areas, has a population of 696,413 people. Brno operates in the Central European Time Zone (UTC+1) during standard time and switches to Central European Summer Time (UTC+2) during daylight saving time. The postal code for Brno ranges from 600 00 to 650 00. For more information, you can visit the official website of Brno at www.brno.cz.\n\nOverview of Brno, Czech Republic\nBrno, situated in the Czech Republic's South Moravian Region, was founded around the year 1000. Covering an area of 230.18 square kilometers, it has a population of 396,101 inhabitants and a metropolitan area population of 696,413 people.; url: https://en.wikipedia.org/wiki/Brno""]","According to the 2021 census, Brno has a population of 396,101 inhabitants.",0.95199999998096,0.9025844219144513,1.0,1.0
What is the historical center of Brno known for?,"The historical center of Brno is known for being the third largest preservation zone in the Czech Republic, rich in medieval, gothic, and neo-Gothic architecture.","[""Brno boasts an impressive array of historical sights, including a designated World Heritage Site by UNESCO and eight monuments listed as national cultural heritage of the Czech Republic. The city's historical center hosts the majority of these landmarks, which is also the third largest historic preservation zone in the Czech Republic, surpassed only by Prague. Key landmarks include Špilberk Castle, a royal castle from the 13th century that later became a fortress and prison, and the neo-Gothic towers of the Cathedral of St. Peter and Paul, finalized in 1909. Other prominent sites include Veveří Castle, the Abbey of Saint Thomas where Gregor Mendel conducted genetic experiments, the gothic Church of Saint James, and the Basilica of the Assumption of Our Lady. Brno also is home to the second-largest ossuary in Europe located beneath the Cabbage Market, known as Brno Ossuary, along with the Capuchin crypt that contains mummies of historical figures and monks. Additionally, the Labyrinth under Zelný trh, a network of ancient cellars opened to the public in 2009, offers a glimpse into medieval storage methods and wartime shelters.\nBrno, Czech Republic\nHistorical Sights of Brno\nBrno houses numerous historical sites including a UNESCO World Heritage Site and eight national monuments. Key attractions include Špilberk Castle, Cathedral of St. Peter and Paul, and Brno Ossuary. The city’s historical center is the third largest preservation zone in the Czech Republic, rich in medieval, gothic, and neo-Gothic architecture.; url: https://en.wikipedia.org/wiki/Brno"", 'Brno Exhibition Centre is among the largest exhibition centres in Europe. The complex opened in 1928 and established the tradition of large exhibitions and trade fairs held in Brno.\nBrno, Czech Republic\nBrno Exhibition Centre\nBrno Exhibition Centre, opened in 1928, stands among the largest exhibition centers in Europe and is known for hosting major trade fairs and exhibitions.; url: https://en.wikipedia.org/wiki/Brno']","The historical center of Brno is known for its impressive array of landmarks, including a UNESCO World Heritage Site and eight national monuments. The area hosts the majority of these sites, which is also the third largest historic preservation zone in the Czech Republic. Key attractions include Špilberk Castle, Cathedral of St. Peter and Paul, Veveří Castle, and Brno Ossuary.",0.9519999999523999,0.8884491053880285,1.0,1.0
What is the significance of the Jewish historical sites in Brno?,"Brno houses notable Jewish historical sites including a functionalist synagogue and the largest Jewish cemetery in Moravia, marking a rich and turbulent history. Maintained by the local Jewish community, these sites serve as a testament to the resilience and enduring spirit of the Jewish people in Brno.","[{'title': 'Brno - Jewish Virtual Library', 'href': 'https://www.jewishvirtuallibrary.org/brno', 'body': 'Brno, Czech Republic. BRNO (Ger. Bruenn ), capital of Moravia, Czech Republic. A community was established there in the first half of the 13 th century by Jews invited by the margrave of Moravia. A charter granted in 1254 guaranteed protection to Jewish lives and property, freed Jews from restrictions on trade and occupations, and exempted them ...'}, {'title': 'Vila Arnold Reopens, Revealing Brno Jewish Community History', 'href': 'https://brnodaily.com/2024/04/04/brno/vila-arnold-reopens-revealing-brno-jewish-community-history/', 'body': 'The villa has a long story that intertwines with that of the Jewish community. The villa was built in 1862 by architect Josef Arnold as a summer residence above Lužánky park in a Swiss style, particularly noticeable in its tower. It was later sold to various owners until it became property of Cäcilie Hože, the wife of the wealthy Brno ...'}, {'title': 'Czech it out - why you should visit Brno and ... - The Jewish Chronicle', 'href': 'https://www.thejc.com/life-and-culture/travel/czechia-city-break-brno-olomouc-e5vtmopu', 'body': ""Brno has beautiful old buildings, too, but its greatest architectural jewel dates back less than 100 years; Mies van der Rohe's futuristic Villa Tugendhat, built for Jewish industrialists, which ...""}, {'title': 'YIVO | Brno - The YIVO Encyclopedia of Jews in Eastern Europe', 'href': 'https://yivoencyclopedia.org/article.aspx/Brno', 'body': 'A charter from 1345 encouraged Jews—who were engaged primarily in commerce and moneylending—to settle in Brno. In 1348, approximately 1,000 Jews lived in Brno, largely in the Jewish quarter (with its own ""Jews\' Gate""). There was a yeshiva in the fourteenth century. The only rabbi known from this period was Yisra\'el ben Ḥayim Bruna ...'}, {'title': ""Return to Brno: an overdue memorial to the city's ... - Prospect"", 'href': 'https://www.prospectmagazine.co.uk/world/40387/return-to-brno-an-overdue-memorial-to-the-citys-disappeared-jews', 'body': 'The remaining 945 were murdered, together with over 77,000 Czech Jews who did not survive the Holocaust. Brno was known as the ""Manchester of the Czech Republic"" with its thriving textile industry. The capital of Moravia, it was a prosperous industrial town and until 1939 home to a substantial Jewish community.'}]",The Jewish historical sites in Brno hold significant importance as they reflect the city's rich cultural and religious diversity.,0.9519999999048,0.9219251764226774,1.0,1.0
What is the oldest theatre building in Central Europe?,The Reduta Theatre,"[""The Museum of Decorative Arts of the Moravian Gallery in Brno underwent significant changes in 2021 with a new concept titled ART DESIGN FASHION. This initiative highlights the museum's commitment to not only design but also fashion, and the interaction between design and art. The permanent exhibition, featuring works and new installations by leading Czech designers, transforms the museum into a showcase for Czech design excellence. Designers involved in this reconfiguration include Maxim Velčovský, Radek Wohlmuth, edit! studio, Eva Eisler, David Karásek, and the Olgoj Chorchoj studio with Marek Štěpán. Recently, the museum also features interventions by artist Krištof Kintera, particularly his 'Demon of Growth'.\nBrno, Czech Republic\nMuseum of Decorative Arts at the Moravian Gallery\nThe Museum of Decorative Arts in Brno showcases a refreshed concept focussing on ART DESIGN FASHION since 2021. It features both a permanent exhibition and installations by renowned Czech designers, exploring the synergy between design, art, and fashion. Notable recent additions include works by Krištof Kintera.; url: https://moravska-galerie.cz/vystavy/stale-expozice/art-design-fashion/""]","The oldest theatre building in Central Europe is the Janáček Theatre in Brno, Czech Republic.",0.9519999999762,0.9372000000000003,1.0,1.0
What are some of the prominent cultural institutions in Brno?,"Some of the prominent cultural institutions in Brno include the Moravian Museum, Moravian Library, Moravian Gallery, Anthropos Pavilion, Technical Museum, and Vašulka Kitchen Brno.","[""Brno is enriched with prominent cultural and educational institutions. Key venues include the Moravian Museum, the second largest museum in the Czech Republic with a collection exceeding 6 million items. The Moravian Library, boasting around 4 million volumes, stands as the second largest library in the country. The Moravian Gallery, the largest of its kind in Moravia and the second largest in the Czech Republic, offers extensive artistic exhibits. The Anthropos Pavilion, part of the Moravian Museum, explores the earliest history of mankind and prehistoric Europe. The Technical Museum in Brno, the largest in Moravia, features permanent exhibitions that detail the progress of science and technology with realistic models and restored machines. Additionally, the Vašulka Kitchen Brno, established in 2016, is located in the Brno House of Arts and includes an archive and permanent exhibition of works by Steina and Woody Vasulka. On the educational front, Brno is a vital hub with over 62,000 students enrolled in its higher education institutions. Masaryk University, the largest in Brno and the second biggest in the country, offers a wide range of academic programs across its nine faculties. The Brno University of Technology, established in 1899, is among the country's leading technical universities. Mendel University, named after genetics pioneer Gregor Mendel, has around 10,000 students.\nBrno, Czech Republic\nCultural and Educational Highlights of Brno\nBrno hosts several premier cultural and educational institutions, including the Moravian Museum, Moravian Library, and Moravian Gallery, all significant in their respective fields in the Czech Republic. The city is also a crucial educational center with over 62,000 students spread across multiple universities and institutions such as Masaryk University and Brno University of Technology. These institutions not only advance academic and professional knowledge but also maintain and celebrate the historical and cultural heritage of the region.; url: https://en.wikipedia.org/wiki/Brno"", 'Brno boasts several significant cultural institutions including the Moravian Museum, Moravian Library, Moravian Gallery, and a Technical Museum. The Moravian Museum, founded in 1817, is the largest museum in Moravia with over 6 million pieces in its collection. The Moravian Library, with around 4 million volumes, is the second largest library in the Czech Republic. The Moravian Gallery is the largest gallery in Moravia and the second largest in the country. Additionally, Brno houses the largest Technical Museum in Moravia, featuring permanent exhibitions on the advancement of science and technology.\n\nMuseums, libraries and galleries\nBrno boasts several significant cultural institutions including the Moravian Museum, Moravian Library, Moravian Gallery, and a Technical Museum. The Moravian Museum, founded in 1817, is the largest museum in Moravia with over 6 million pieces in its collection.; url: https://en.wikipedia.org/wiki/Brno', ""The city spends about 30 million euro every year on culture. A vibrant university city with about 60,000 students, Brno is home to many museums, theatres and other cultural institutions, and also hosts a number of festivals and other cultural events. Since the 1990s Brno has experienced a great cultural 'rebirth': façades of historical monuments are being repaired and various exhibitions, shows, etc., are being established or extended. In 2007 a summit of 15 presidents of EU Member States was held in Brno. Despite its urban character, some of the city districts still preserve traditional Moravian folklore, including folk festivals with traditional Moravian costumes, Moravian wines, folk music and dances. Unlike smaller municipalities, in Brno annual traditional Moravian folk festivals are held in several city districts, including Židenice, Líšeň, and Ivanovice. Hantec is a unique slang that originated in Brno. The biggest festival in Brno is the fireworks competition festival, Ignis Brunensis (Latin for 'Flame of Brno'), held annually in June, part of the 'Brno – City in the Centre of Europe' festival. Ignis Brunensis is the biggest show of its kind in Central Europe, usually attracting 100,000–200,000 visitors to each display. The international film festival Cinema Mundi screens about 60 films competing for Oscar nomination in the category of Best Foreign Language Film. Theatre World Brno is another international festival held annually in the city, in which Brno theatres and the city centre stage around 100 performances by national and foreign ensembles. Other festivals held regularly in Brno include the International Music Festival Brno, the Spilberk International Music Festival, and the Summer Shakespeare Festival. Every September, Brno hosts a wine festival, Slavnosti vína, to celebrate the harvest in the surrounding wine-producing region.\n\nCultural Scene of Brno\nBrno boasts a vibrant cultural scene with an annual investment of approximately 30 million euros. The city, home to around 60,000 students, features numerous museums, theaters, festivals, and cultural events.; url: https://en.wikipedia.org/wiki/Brno""]","Brno is enriched with prominent cultural and educational institutions. Key venues include the Moravian Museum, the second largest museum in the Czech Republic with a collection exceeding 6 million items. The Moravian Library, boasting around 4 million volumes, stands as the second largest library in the country. The Moravian Gallery, the largest of its kind in Moravia and the second largest in the Czech Republic, offers extensive artistic exhibits. The Anthropos Pavilion, part of the Moravian Museum, explores the earliest history of mankind and prehistoric Europe. The Technical Museum in Brno, the largest in Moravia, features permanent exhibitions that detail the progress of science and technology with realistic models and restored machines. Additionally, the Vašulka Kitchen Brno, established in 2016, is located in the Brno House of Arts and includes an archive and permanent exhibition of works by Steina and Woody Vasulka. On the educational front, Brno is a vital hub with over 62,000 students enrolled in its higher education institutions. Masaryk University, the largest in Brno and the second biggest in the country, offers a wide range of academic programs across its nine faculties. The Brno University of Technology, established in 18\9\9, is among the country's leading technical universities. Mendel University, named after genetics pioneer Gregor Mendel, has around 10,000 students.",0.519999999523999,0.213688355112438,1.0,1.0
When was the Janáček Academy of Music and Performing Arts established?,Janáček Academy of Music and Performing Arts was established in 1947 in Brno.,"[{'text': 'Janáček Academy of Music and Performing Arts, named after Leoš Janáček, was founded in 1947 and is one of two academies of music and drama in the Czech Republic. It holds the annual Leoš Janáček Competition.', 'address': None, 'header': 'Janáček Academy of Music and Performing Arts in Brno', 'url': 'https://en.wikipedia.org/wiki/Brno', 'brief': 'Janáček Academy of Music and Performing Arts was established in 1947 in Brno, named after the famed composer Leoš Janáček. It is one of only two such academies in the Czech Republic, and it conducts the annual Leoš Janáček Competition.'}]",The Janáček Academy of Music and Performing Arts was founded in 1947.,0.9519999999762,0.9371999999999993,1.0,1.0
